numero_processo;dia_semana;ano
07063960820248010001;Sexta;2026
50011822120268010001;Terça;2026
50009207120268010001;Sexta;2026
50090975820258010001;Quinta;2025
50089157220258010001;Quarta;2025
50000852320258010000;Quarta;2025
50000730920258010000;Terça;2025
07012417420258010070;Terça;2025
50000705420258010000;Sexta;2025
50068050320258010001;Quinta;2025
07137898120248010001;Quinta;2025
50000148420258019000;Quinta;2025
50000087720258019000;Quinta;2025
07150573920258010001;Segunda;2025
07001053120258010009;Sexta;2025
10018673620258010000;Quarta;2025
07135478820258010001;Sexta;2025
10017097820258010000;Sexta;2025
07184033220248010001;Quarta;2025
07156466520248010001;Quarta;2025
00006964520258010070;Terça;2025
07225621820248010001;Terça;2025
07036547320258010001;Quinta;2025
07097544420258010001;Segunda;2025
07063724320258010001;Terça;2025
07026473320258010070;Terça;2025
07023961520258010070;Segunda;2025
07004761820228010003;Quinta;2025
07019094520258010070;Segunda;2025
07077835820248010001;Segunda;2025
07036547320258010001;Terça;2025
07012417420258010070;Terça;2025
00007025220258010070;Quinta;2025
07004709620258010070;Quarta;2025
07036826220248010070;Quinta;2025
07155958820238010001;Terça;2024
07225621820248010001;Quinta;2024
07007513620238010001;Quinta;2024
07025523720248010070;Quinta;2024
07204082720248010001;Terça;2024
07184033220248010001;Quarta;2024
01020749420248010000;Quarta;2024
07003136720248010003;Quarta;2024
07156466520248010001;Terça;2024
07182754620238010001;Segunda;2024
07051012020248010070;Segunda;2024
07047244920248010070;Terça;2024
07115925620248010001;Terça;2024
07169243820238010001;Segunda;2024
07080815020248010001;Quarta;2024
07077835820248010001;Quinta;2024
07063960820248010001;Terça;2024
07003136720248010003;Quinta;2024
