numero_processo;tipo_decisao;grau;dia_semana;ano
02468351320258041000;Procedência;G1;;2025
02354688920258041000;Procedência;G1;Terça;2025
00441995820258041000;Procedência;G1;Terça;2025
00001778920258042300;Procedência;G1;Segunda;2025
00271171420258041000;Procedência;G1;Sexta;2025
05985374620248040001;Procedência;G1;Terça;2024
05925165420248040001;Procedência;G1;Sexta;2024
05747205020248040001;Procedência;G1;Terça;2024
05149598820248040001;Procedência;G1;Segunda;2024
04981632220248040001;Procedência;G1;Quinta;2024
04396470920248040001;Procedência;G1;Terça;2024
04195127320248040001;Procedência;G1;Segunda;2024
04197084320248040001;Procedência;G1;;2024
04064809820248040001;Procedência;G1;Terça;2024
04001291220248040001;Procedência;G1;Terça;2024
06868095020238040001;Procedência;G1;Terça;2023
06844494520238040001;Procedência;G1;Quarta;2023
06707577620238040001;Procedência;G1;Sexta;2023
06654106220238040001;Procedência;G1;Segunda;2023
06634368720238040001;Procedência;G1;Sexta;2023
06045195220238044600;Procedência;G1;Quarta;2023
06355120420238040001;Procedência;G1;Quarta;2023
05716047020238040001;Procedência;G1;Terça;2023
05590942520238040001;Procedência;G1;Quarta;2023
06018806820238045600;Procedência;G1;Quinta;2023
05491742720238040001;Procedência;G1;Sexta;2023
05488997820238040001;Procedência;G1;Sexta;2023
04996549820238040001;Procedência;G1;Quarta;2023
06040208620238044400;Procedência;G1;Sexta;2023
04183204220238040001;Procedência;G1;Quarta;2023
06012688720228044300;Procedência;G1;Sexta;2022
09089233320228040001;Procedência;G1;Quinta;2022
06012108420228044300;Procedência;G1;Segunda;2022
07789736820228040001;Procedência;G1;Quarta;2022
06903814820228040001;Procedência;G1;Quarta;2022
06634198520228040001;Procedência;G1;Terça;2022
06388476520228040001;Procedência;G1;Quinta;2022
06057758720228040001;Procedência;G1;Quarta;2022
07765827720218040001;Procedência;G1;Segunda;2021
07659733520218040001;Procedência;G1;Quinta;2021
07057857620218040001;Procedência;G1;Sexta;2021
06478118120218040001;Procedência;G1;Terça;2021
06386427020218040001;Procedência;G1;Quinta;2021
06022697420208040001;Procedência;G1;Quarta;2021
06182172220218040001;Procedência;G1;Terça;2021
06126293420218040001;Procedência;G1;Terça;2021
06000098720218040001;Procedência;G1;Sexta;2021
07654428020208040001;Procedência;G1;Quarta;2020
07627873820208040001;Procedência;G1;Sexta;2020
07564581020208040001;Procedência;G1;Quinta;2020
07243148020208040001;Procedência;G1;Terça;2020
06883624020208040001;Procedência;G1;Quinta;2020
06846711820208040001;Procedência;G1;Quarta;2020
06346304720208040001;Procedência;G1;Segunda;2020
06255826420208040001;Procedência;G1;Quinta;2020
08090737420208040001;Procedência;G1;Segunda;2020
06202667020208040001;Procedência;G1;Sexta;2020
06665922520198040001;Procedência;G1;;2019
06457164920198040001;Procedência;G1;Terça;2019
06430706620198040001;Procedência;G1;Quinta;2019
06418823820198040001;Procedência;G1;Sexta;2019
06288757620198040001;Procedência;G1;;2019
06272691320198040001;Procedência;G1;Segunda;2019
06228219420198040001;Procedência;G1;;2019
06208568120198040001;Procedência;G1;Quarta;2019
06147171620198040001;Procedência;G1;Sexta;2019
06103192620198040001;Procedência;G1;Terça;2019
06052882520198040001;Procedência;G1;Segunda;2019
06047400520168040001;Procedência;G1;Quinta;2018
06358687220188040001;Procedência;G1;Quinta;2018
06331847720188040001;Procedência;G1;Sexta;2018
06144646220188040001;Procedência;G1;Quarta;2018
06102148320188040001;Procedência;G1;Terça;2018
06078158120188040001;Procedência;G1;Terça;2018
06375258320178040001;Procedência;G1;Quinta;2017
06286242920178040001;Procedência;G1;Terça;2017
06270446120178040001;Procedência;G1;Quarta;2017
06180071020178040001;Procedência;G1;Quarta;2017
06062484920178040001;Procedência;G1;Quinta;2017
06320447620168040001;Procedência;G1;Quarta;2016
06217454020168040001;Procedência;G1;Sexta;2016
06181538520168040001;Procedência;G1;;2016
06147016720168040001;Procedência;G1;Segunda;2016
06057230420168040001;Procedência;G1;Terça;2016
06370838820158040001;Procedência;G1;Quarta;2015
06319108320158040001;Procedência;G1;Segunda;2015
06059416620158040001;Procedência;G1;Sexta;2015
06344634020148040001;Procedência;G1;Segunda;2014
06090667620148040001;Procedência;G1;Segunda;2014
06271185720138040001;Procedência;G1;Sexta;2013
01371117420258041000;Improcedência;G1;Quarta;2025
00908530620258041000;Improcedência;G1;Quinta;2025
00624433520258041000;Improcedência;G1;Terça;2025
00442090520258041000;Improcedência;G1;Terça;2025
04989392220248040001;Improcedência;G1;;2024
05372849120238040001;Improcedência;G1;Sexta;2023
06012245520238047300;Improcedência;G1;Terça;2023
06971861720228040001;Improcedência;G1;Segunda;2022
06202883120208040001;Improcedência;G1;Sexta;2020
06234524320168040001;Improcedência;G1;Quinta;2016
