numero_processo;dia_semana;ano
07003368020268020046;Sexta;2026
07001793120258020018;Sexta;2026
07047818220268020001;Sexta;2026
07046492520268020001;Sexta;2026
07001835920268020042;Sexta;2026
07003142220268020046;Sexta;2026
07042803120268020001;Quinta;2026
07042708420268020001;Quinta;2026
07522295620238020001;Quinta;2026
07088292120258020001;Quinta;2026
07042664720268020001;Quinta;2026
07041833120268020001;Quarta;2026
07001133820248020066;Quarta;2026
07029169220248020001;Quarta;2026
07002532620268020091;Quarta;2026
07409198220258020001;Terça;2026
07017020620258020042;Terça;2026
07001662320268020042;Terça;2026
07002350520268020091;Terça;2026
07237715820258020001;Terça;2026
07036870220268020001;Terça;2026
07036714820268020001;Segunda;2026
07129702020248020001;Segunda;2026
07003756520238020084;Segunda;2026
07000742320268020017;Segunda;2026
07034844020268020001;Segunda;2026
07017351120268020058;Segunda;2026
07280664120258020001;Segunda;2026
07002432020268020046;Segunda;2026
07078416820238020001;Segunda;2026
07034272220268020001;Segunda;2026
07000603920268020017;Sexta;2026
07164890320248020001;Sexta;2026
07303485720228020001;Quinta;2026
07371873020248020001;Quinta;2026
07505814120238020001;Quinta;2026
07330281020258020001;Quinta;2026
07001213020268020006;Quinta;2026
07030932220258020001;Quinta;2026
07017001520258020049;Quarta;2026
07320608220228020001;Quarta;2026
07001303620268020056;Quarta;2026
07029191520248020044;Quarta;2026
07028478920268020001;Quarta;2026
07004363520258020025;Quarta;2026
07209889320258020001;Quarta;2026
07009003820258020032;Terça;2026
07025533720268020001;Terça;2026
07024659620268020001;Terça;2026
07114066920258020001;Terça;2026
07000344520268020048;Segunda;2026
07022493820268020001;Segunda;2026
07022476820268020001;Segunda;2026
07019872520258020001;Segunda;2026
07022121120268020001;Segunda;2026
07402578920238020001;;2026
07001149720268020051;;2026
07000490720268020018;Sexta;2026
07019679720268020001;Sexta;2026
07019497620268020001;Sexta;2026
07019462420268020001;Sexta;2026
07019410220268020001;Sexta;2026
07019194120268020001;Sexta;2026
07019124920268020001;Sexta;2026
07127611720258020001;Sexta;2026
07007244320258020005;Quinta;2026
07001392820268020046;Quinta;2026
07016950620268020001;Quinta;2026
07409292920258020001;Quinta;2026
07000462820268020026;Quinta;2026
07009878720258020001;Quarta;2026
07004638920258020066;Quarta;2026
07015244920268020001;Quarta;2026
07015184220268020001;Quarta;2026
07015062820268020001;Quarta;2026
07000422320268020080;Quarta;2026
07013868220268020001;Terça;2026
07013608420268020001;Terça;2026
07024246220248020046;Segunda;2026
07239979720248020001;Segunda;2026
07010325720268020001;Segunda;2026
07437671320238020001;;2026
07008507120268020001;Sexta;2026
07008090720268020001;Sexta;2026
07236985720238020001;Quinta;2026
07000191120268020005;Quinta;2026
07000385020268020091;Quarta;2026
07111941920238020001;Quarta;2026
07003206720268020001;Terça;2026
07002747820268020001;Terça;2026
07002721120268020001;Terça;2026
07002678620268020001;Terça;2026
07002643420268020001;Terça;2026
07002609420268020001;Terça;2026
07008126720258020042;Terça;2026
07098365320228020001;Segunda;2026
07000032520268020048;Segunda;2026
07000024020268020048;Segunda;2026
07001197520268020001;Segunda;2026
07004430720258020064;Sexta;2026
07014487820248020006;Segunda;2025
07470772720238020001;Sexta;2025
07005296920258020066;Sexta;2025
08150624520258020000;Quinta;2025
08150373220258020000;Terça;2025
07004829520258020066;;2025
08150113420258020000;Sexta;2025
07011504020258020010;Sexta;2025
07590954620248020001;Sexta;2025
07429180720248020001;Sexta;2025
07659839420258020001;Sexta;2025
07181100620228020001;Sexta;2025
07009123320258020006;Sexta;2025
07427362120248020001;Quinta;2025
07422974420238020001;Quinta;2025
07289247720228020001;Quinta;2025
07658358320258020001;Quinta;2025
07567917420248020001;Quinta;2025
07658159220258020001;Quinta;2025
07390144220258020001;Quinta;2025
07218613020248020001;Quinta;2025
08148875120258020000;Quarta;2025
07440437320258020001;Quarta;2025
07534989620248020001;Quarta;2025
07333047520248020001;Quarta;2025
07585212320248020001;Quarta;2025
07654642220258020001;Quarta;2025
07004358320248020090;Quarta;2025
08148399220258020000;Terça;2025
07086517220258020001;Terça;2025
07141547420258020001;Terça;2025
08148217120258020000;Terça;2025
07423635320258020001;Terça;2025
08148139420258020000;Terça;2025
07006897220258020041;Terça;2025
07178461820248020001;Terça;2025
07011941120258020026;Terça;2025
07652104920258020001;Terça;2025
07018875520258020006;Terça;2025
07652027220258020001;Terça;2025
07240160620248020001;Segunda;2025
07651602320258020001;Segunda;2025
08147532420258020000;Segunda;2025
08147385520258020000;Segunda;2025
07358579520248020001;Segunda;2025
07649861420258020001;Segunda;2025
07016003420258020090;Segunda;2025
07018737120258020006;Segunda;2025
07091684820238020001;Segunda;2025
07009750220258020057;Segunda;2025
08147012820258020000;;2025
07131786720258020001;;2025
08146589120258020000;Sexta;2025
08146493220258020000;Sexta;2025
07618382920248020001;Sexta;2025
07330353620248020001;Sexta;2025
07168164520248020001;Sexta;2025
07201698220258020058;Quinta;2025
07221485620258020001;Quinta;2025
07541346220248020001;Quinta;2025
08146069520258020000;Quinta;2025
07035512020248020051;Quinta;2025
07643427120258020001;Quinta;2025
08145921420258020000;Quinta;2025
07006301020258020001;Quinta;2025
08145809720258020000;Quinta;2025
08145705320258020000;Quarta;2025
08145341120258020000;Quarta;2025
08144856720258020000;Terça;2025
08138768420258020000;Terça;2025
07397390220238020001;Terça;2025
07428092720238020001;Terça;2025
08103856920258020000;Segunda;2025
07636930920258020001;Segunda;2025
08143981420258020000;Sexta;2025
07066172720258020001;Sexta;2025
08138404220258020000;Sexta;2025
07405916020228020001;Sexta;2025
00008054520258020001;Quinta;2025
