numero_processo;tipo_decisao;grau;dia_semana;ano
80061770920258050079;Procedência;G1;Segunda;2025
80388773520258050080;Procedência;G1;Segunda;2025
80100605620258050113;Procedência;G1;Segunda;2025
80099687820258050113;Procedência;G1;Quinta;2025
80045127020258050074;Procedência;G1;Quarta;2025
81907347420258050001;Procedência;G1;Sexta;2025
81876800320258050001;Procedência;G1;Segunda;2025
80092343020258050113;Procedência;G1;;2025
80092369720258050113;Procedência;G1;;2025
80092386720258050113;Procedência;G1;;2025
81539820620258050001;Procedência;G1;Quinta;2025
80049554120258050229;Procedência;G1;Quarta;2025
80011971720258050209;Procedência;G1;Terça;2025
81509404620258050001;Procedência;G1;Segunda;2025
81477048620258050001;Procedência;G1;Quarta;2025
81466655420258050001;Procedência;G1;Terça;2025
81391532020258050001;Procedência;G1;Sexta;2025
80024789520258050277;Procedência;G1;Quarta;2025
80060736920258050191;Procedência;G1;Quarta;2025
80019135720258050237;Procedência;G1;Terça;2025
80041316420258050138;Procedência;G1;Sexta;2025
80051894020258050191;Procedência;G1;Segunda;2025
80002317620258050234;Procedência;G1;Quinta;2025
80033703320258050138;Procedência;G1;Quarta;2025
80011627520258050106;Procedência;G1;Quinta;2025
80010456020258050211;Procedência;G1;Sexta;2025
80779627120258050001;Procedência;G1;Quinta;2025
80039093420258050191;Procedência;G1;Quinta;2025
80773382220258050001;Procedência;G1;Quarta;2025
80028410520258050141;Procedência;G1;Quarta;2025
80010502520258050036;Procedência;G1;Quarta;2025
80009930720258050036;Procedência;G1;Sexta;2025
80009008020258050218;Procedência;G1;Quinta;2025
80038559420258050150;Procedência;G1;Quarta;2025
80007918720258050114;Procedência;G1;Sexta;2025
80006086220258050035;Procedência;G1;Terça;2025
80002673220258050198;Procedência;G1;Terça;2025
80562580220258050001;Procedência;G1;Quarta;2025
80003476420258050046;Procedência;G1;Quarta;2025
80072588720258050080;Procedência;G1;Segunda;2025
80392146720258050001;Procedência;G1;Quarta;2025
80384931820258050001;Procedência;G1;Terça;2025
80379241720258050001;Procedência;G1;Segunda;2025
80061181820258050080;Procedência;G1;Quinta;2025
80338952120258050001;Procedência;G1;Sexta;2025
80333253520258050001;Procedência;G1;Quinta;2025
80028842420258050146;Procedência;G1;Terça;2025
80323146820258050001;Procedência;G1;Terça;2025
80012310920258050074;Procedência;G1;Terça;2025
80009972020258050141;Procedência;G1;Quinta;2025
80003397720258050211;Procedência;G1;Quinta;2025
80002864220258050035;Procedência;G1;Quinta;2025
80020233820258050146;Procedência;G1;Terça;2025
80218958620258050001;Procedência;G1;Segunda;2025
80207249420258050001;Procedência;G1;;2025
80003796520258050112;Procedência;G1;Terça;2025
80170414920258050001;Procedência;G1;Segunda;2025
80004169820258050110;Procedência;G1;Segunda;2025
80001656920258050243;Procedência;G1;Quinta;2025
80011127720258050032;Procedência;G1;Quarta;2025
80000609120258050211;Procedência;G1;Terça;2025
80001528520258050141;Procedência;G1;Terça;2025
80026266120258050001;Procedência;G1;Quarta;2025
80074789120248050154;Procedência;G1;Quinta;2024
80221832520248050274;Procedência;G1;Quarta;2024
80039671720248050112;Procedência;G1;Quarta;2024
80013935420248050198;Procedência;G1;Quarta;2024
80040114120248050078;Procedência;G1;Terça;2024
81943387720248050001;Procedência;G1;Terça;2024
81932154420248050001;Procedência;G1;Segunda;2024
80059323220248050079;Procedência;G1;Sexta;2024
81886867920248050001;Procedência;G1;Terça;2024
81879531620248050001;Procedência;G1;Segunda;2024
81864730320248050001;Procedência;G1;Sexta;2024
81859404420248050001;Procedência;G1;Quinta;2024
81853835720248050001;Procedência;G1;Quinta;2024
80066166920248050074;Procedência;G1;Quarta;2024
80210885720248050274;Procedência;G1;Terça;2024
80072179120248050004;Procedência;G1;Segunda;2024
81734508720248050001;Procedência;G1;Segunda;2024
80081473320248050191;Procedência;G1;Segunda;2024
81727034020248050001;Procedência;G1;Sexta;2024
80117395820248050103;Procedência;G1;Terça;2024
81674134420248050001;Procedência;G1;;2024
81653479120248050001;Procedência;G1;Quinta;2024
81640833920248050001;Procedência;G1;Terça;2024
81617476220248050001;Procedência;G1;Sexta;2024
81568578020248050001;Procedência;G1;Sexta;2024
81544604820248050001;Procedência;G1;Quarta;2024
81546501120248050001;Procedência;G1;Quarta;2024
80030282520248050213;Procedência;G1;Quarta;2024
80032138020248050078;Procedência;G1;Terça;2024
80108795720248050103;Procedência;G1;Segunda;2024
80069448920248050141;Procedência;G1;Segunda;2024
80069300820248050141;Procedência;G1;Segunda;2024
80067837920248050141;Procedência;G1;Terça;2024
80033856320248050032;Procedência;G1;Terça;2024
80066608120248050141;Procedência;G1;Quarta;2024
80090647820248050150;Procedência;G1;Quarta;2024
80029702920248050243;Procedência;G1;Terça;2024
80032626520248050032;Procedência;G1;Sexta;2024
81426377720248050001;Procedência;G1;Sexta;2024
81412320620248050001;Procedência;G1;Quarta;2024
81411455020248050001;Procedência;G1;Quarta;2024
81401243920248050001;Procedência;G1;Terça;2024
80031690520248050032;Procedência;G1;Sexta;2024
80056533920248050049;Procedência;G1;Sexta;2024
80062692920248050141;Procedência;G1;Sexta;2024
80163156620248050274;Procedência;G1;Terça;2024
81280877720248050001;Procedência;G1;Quarta;2024
80080256020248050113;Procedência;G1;Terça;2024
80022869520248050052;Procedência;G1;Sexta;2024
81251526420248050001;Procedência;G1;Quinta;2024
80052969720248050004;Procedência;G1;Segunda;2024
81224037420248050001;Procedência;G1;Segunda;2024
80057756720248050141;Procedência;G1;Segunda;2024
81211219820248050001;Procedência;G1;Sexta;2024
81183643420248050001;Procedência;G1;Segunda;2024
81159280520248050001;Procedência;G1;Quinta;2024
80217667220248050080;Procedência;G1;Quarta;2024
80080806720248050256;Procedência;G1;Quarta;2024
80073872720248050113;Procedência;G1;Terça;2024
81137014220248050001;Procedência;G1;Segunda;2024
81112279820248050001;Procedência;G1;Quarta;2024
81105852820248050001;Procedência;G1;Terça;2024
80052863020248050141;Procedência;G1;Terça;2024
80024653520248050244;Procedência;G1;Segunda;2024
80071257720248050113;Procedência;G1;Segunda;2024
81076675120248050001;Procedência;G1;Quinta;2024
80069516820248050113;Procedência;G1;Terça;2024
80023666520248050244;Procedência;G1;Terça;2024
80069481620248050113;Procedência;G1;Terça;2024
80069533820248050113;Procedência;G1;Terça;2024
80069152620248050113;Procedência;G1;Segunda;2024
80069144120248050113;Procedência;G1;Segunda;2024
80039647220248050044;Procedência;G1;Sexta;2024
80068494620248050113;Procedência;G1;Sexta;2024
80068433920248050113;Procedência;G1;Sexta;2024
81039867320248050001;Procedência;G1;Quinta;2024
80014895420248050106;Procedência;G1;Quarta;2024
80015843120248050156;Procedência;G1;Segunda;2024
80132185820248050274;Procedência;G1;Segunda;2024
80041063720248050154;Procedência;G1;Quinta;2024
80031238920248050137;Procedência;G1;Segunda;2024
80047164420248050141;Procedência;G1;;2024
80031269420248050088;Procedência;G1;Quarta;2024
80046003820248050141;Procedência;G1;Segunda;2024
80174960520248050080;Procedência;G1;Quinta;2024
80031712820248050079;Procedência;G1;Quinta;2024
80155639420248050080;Procedência;G1;Quarta;2024
80009683120248050035;Procedência;G1;Quarta;2024
80061103220248050256;Procedência;G1;Terça;2024
80065337320248050229;Procedência;G1;Sexta;2024
80780539820248050001;Procedência;G1;Quinta;2024
80033517520248050004;Procedência;G1;Terça;2024
80010686420248050106;Procedência;G1;Terça;2024
80106922120248050274;Procedência;G1;Terça;2024
80036408220248050141;Procedência;G1;Quinta;2024
80745844420248050001;Procedência;G1;Quinta;2024
80731043120248050001;Procedência;G1;Terça;2024
80004915920248050212;Procedência;G1;Terça;2024
80030737420248050004;Procedência;G1;Quarta;2024
80099863820248050274;Procedência;G1;Terça;2024
80691991820248050001;Procedência;G1;Segunda;2024
80669777720248050001;Procedência;G1;Quarta;2024
80014157920248050112;Procedência;G1;Terça;2024
80009075420248050106;Procedência;G1;Terça;2024
80656725820248050001;Procedência;G1;Segunda;2024
80656223220248050001;Procedência;G1;Segunda;2024
80004509220248050212;Procedência;G1;Segunda;2024
80016032120248050032;Procedência;G1;Sexta;2024
80640070720248050001;Procedência;G1;Quarta;2024
80015841520248050032;Procedência;G1;Quarta;2024
80030834220248050191;Procedência;G1;Terça;2024
80625409020248050001;Procedência;G1;Segunda;2024
80030565920248050191;Procedência;G1;Segunda;2024
80054719520248050229;Procedência;G1;Sexta;2024
80042226920248050113;Procedência;G1;Quarta;2024
80028466120248050141;Procedência;G1;Terça;2024
80112396120248050080;Procedência;G1;Segunda;2024
80046646520248050103;Procedência;G1;Sexta;2024
80046577320248050103;Procedência;G1;Sexta;2024
80009218220248050156;Procedência;G1;Quarta;2024
80555309220248050001;Procedência;G1;;2024
80026387720248050141;Procedência;G1;Sexta;2024
80013832320248050032;Procedência;G1;Quinta;2024
80006721820248050226;Procedência;G1;Quinta;2024
80545643220248050001;Procedência;G1;Quinta;2024
80528798720248050001;Procedência;G1;Terça;2024
80527005620248050001;Procedência;G1;Segunda;2024
80024793720248050141;Procedência;G1;Segunda;2024
80092631920248050080;Procedência;G1;Segunda;2024
80022966620248050141;Procedência;G1;;2024
80004445320248050158;Procedência;G1;Sexta;2024
80004738720248050034;Procedência;G1;Sexta;2024
80006208120248050077;Procedência;G1;Sexta;2024
80020421920248050004;Procedência;G1;Sexta;2024
80009846520248050170;Procedência;G1;Quinta;2024
80022030620248050141;Procedência;G1;Quarta;2024
80037690720248050103;Procedência;G1;Terça;2024
80015292020248050079;Procedência;G1;Sexta;2024
80020065120248050141;Procedência;G1;Terça;2024
80078108620248050080;Procedência;G1;Segunda;2024
80017867620248050004;Procedência;G1;Segunda;2024
80005524420248050106;Procedência;G1;Segunda;2024
80007600520248050243;Procedência;G1;Sexta;2024
80383696920248050001;Procedência;G1;Sexta;2024
80005640520248050156;Procedência;G1;Sexta;2024
80027506320248050103;Procedência;G1;Terça;2024
80005083120248050104;Procedência;G1;Segunda;2024
80023126320248050256;Procedência;G1;Sexta;2024
80009226720248050156;Procedência;G1;Quarta;2024
80014461220248050141;Procedência;G1;;2024
80316974520248050001;Procedência;G1;Sexta;2024
80006461420248050228;Procedência;G1;Quinta;2024
80310764820248050001;Procedência;G1;Quinta;2024
80303220920248050001;Procedência;G1;Quarta;2024
80053251620248050080;Procedência;G1;Quarta;2024
80022681620248050039;Procedência;G1;Sexta;2024
80012655520248050191;Procedência;G1;Quinta;2024
80270821220248050001;Procedência;G1;Quinta;2024
80273636520248050001;Procedência;G1;Quinta;2024
80015638720248050113;Procedência;G1;Sexta;2024
80241140920248050001;Procedência;G1;Sexta;2024
80003652320248050078;Procedência;G1;Quinta;2024
80213894720248050001;Procedência;G1;Segunda;2024
80212457320248050001;Procedência;G1;;2024
80020956320248050274;Procedência;G1;Sexta;2024
80008255820248050256;Procedência;G1;Quinta;2024
80008272820248050256;Procedência;G1;Quinta;2024
80008411220248050256;Procedência;G1;Quinta;2024
80008117420248050256;Procedência;G1;Quinta;2024
80008438120248050126;Procedência;G1;Quarta;2024
80018834220248050274;Procedência;G1;Sexta;2024
80004966520248050088;Procedência;G1;Quinta;2024
80004836620248050088;Procedência;G1;Quarta;2024
80176913320248050001;Procedência;G1;Terça;2024
80024758620248050080;Procedência;G1;Sexta;2024
80006699720248050150;Procedência;G1;Quarta;2024
80001971120248050243;Procedência;G1;Terça;2024
80137775820248050001;Procedência;G1;Terça;2024
80125356420248050001;Procedência;G1;;2024
80124212820248050001;Procedência;G1;;2024
80004230420248050150;Procedência;G1;Terça;2024
80074101820248050001;Procedência;G1;Sexta;2024
80003198320248050191;Procedência;G1;Sexta;2024
80003679520248050141;Procedência;G1;Quinta;2024
80001245520248050076;Procedência;G1;Quinta;2024
80000780420248050032;Procedência;G1;Quarta;2024
80002098420248050191;Procedência;G1;Segunda;2024
80034006620238050032;Procedência;G1;Quinta;2023
81815376620238050001;Procedência;G1;Quinta;2023
80226380820238050150;Procedência;G1;Terça;2023
80129538620238050146;Procedência;G1;Sexta;2023
80121345420238050113;Procedência;G1;Terça;2023
80120432020238050256;Procedência;G1;Segunda;2023
80303540520238050080;Procedência;G1;Sexta;2023
81734598320238050001;Procedência;G1;Quinta;2023
81694897520238050001;Procedência;G1;Sexta;2023
80031741820238050208;Procedência;G1;Quarta;2023
81663476320238050001;Procedência;G1;Terça;2023
80096839220238050004;Procedência;G1;Segunda;2023
81635346320238050001;Procedência;G1;Sexta;2023
81615937820238050001;Procedência;G1;Quarta;2023
80067090620238050191;Procedência;G1;Segunda;2023
80012969220238050035;Procedência;G1;Quarta;2023
80107237320238050113;Procedência;G1;Segunda;2023
80273245920238050080;Procedência;G1;Quarta;2023
80026917720238050243;Procedência;G1;Quarta;2023
81418585920238050001;Procedência;G1;;2023
80043061820238050271;Procedência;G1;Terça;2023
80148920820238050274;Procedência;G1;Segunda;2023
80007192820238050193;Procedência;G1;Quarta;2023
81330688620238050001;Procedência;G1;Quarta;2023
80004324820238050134;Procedência;G1;Quinta;2023
80233666520238050080;Procedência;G1;;2023
80052712520238050229;Procedência;G1;Sexta;2023
81253642220238050001;Procedência;G1;Quarta;2023
80085949520238050113;Procedência;G1;Quarta;2023
81193944120238050001;Procedência;G1;Quarta;2023
80092687120238050146;Procedência;G1;Quarta;2023
80006300520238050193;Procedência;G1;Segunda;2023
80079306420238050113;Procedência;G1;Quinta;2023
80024252820238050199;Procedência;G1;Quarta;2023
80077098120238050113;Procedência;G1;Segunda;2023
81132582820238050001;Procedência;G1;;2023
80194407620238050080;Procedência;G1;Quinta;2023
80045192620238050141;Procedência;G1;Segunda;2023
80042693720238050191;Procedência;G1;Quinta;2023
80014821520238050036;Procedência;G1;Quinta;2023
81016962220238050001;Procedência;G1;Quinta;2023
80007459520238050073;Procedência;G1;Terça;2023
80065215320238050113;Procedência;G1;Terça;2023
80018174620238050032;Procedência;G1;Quinta;2023
80891105020238050001;Procedência;G1;Segunda;2023
80105046220238050274;Procedência;G1;Sexta;2023
80102811220238050274;Procedência;G1;Terça;2023
80804601420238050001;Procedência;G1;Quarta;2023
80012171320238050230;Procedência;G1;Sexta;2023
80004582920238050269;Procedência;G1;Quarta;2023
80004318020238050193;Procedência;G1;Terça;2023
80143448020238050080;Procedência;G1;Segunda;2023
80013833920238050038;Procedência;G1;Sexta;2023
80048274920238050113;Procedência;G1;Quinta;2023
80070151720238050274;Procedência;G1;Segunda;2023
80589131520238050001;Procedência;G1;Quinta;2023
80556109020238050001;Procedência;G1;Quinta;2023
80024896220238050191;Procedência;G1;Quarta;2023
80012388220238050199;Procedência;G1;Quarta;2023
80008161420238050036;Procedência;G1;Sexta;2023
80097225520238050080;Procedência;G1;Quinta;2023
80026681820238050022;Procedência;G1;Terça;2023
80054854720238050154;Procedência;G1;Segunda;2023
80499233520238050001;Procedência;G1;Quinta;2023
80002855920238050251;Procedência;G1;Segunda;2023
80019955620238050141;Procedência;G1;Quarta;2023
80019358320238050141;Procedência;G1;Segunda;2023
80030789220238050146;Procedência;G1;Segunda;2023
80003557920238050153;Procedência;G1;Sexta;2023
80006029120238050078;Procedência;G1;Sexta;2023
80006755820238050112;Procedência;G1;Quinta;2023
80061976520238050080;Procedência;G1;Terça;2023
80342933620238050001;Procedência;G1;Segunda;2023
80001811320238050269;Procedência;G1;;2023
80336248020238050001;Procedência;G1;Sexta;2023
80055394120238050080;Procedência;G1;Terça;2023
80004628620238050230;Procedência;G1;Segunda;2023
80004462420238050072;Procedência;G1;Segunda;2023
80006047420238050106;Procedência;G1;Sexta;2023
80004473220238050032;Procedência;G1;Quinta;2023
80051011520238050080;Procedência;G1;Quinta;2023
80009634320238050229;Procedência;G1;Quinta;2023
80018309320238050113;Procedência;G1;Quarta;2023
80007476220238050074;Procedência;G1;Quarta;2023
80252281720238050001;Procedência;G1;Quarta;2023
80003371720238050199;Procedência;G1;Quinta;2023
80017547120238050274;Procedência;G1;;2023
80000898920238050057;Procedência;G1;Quinta;2023
80001985320238050106;Procedência;G1;Segunda;2023
80002235820238050141;Procedência;G1;Segunda;2023
80035642720238050001;Procedência;G1;Sexta;2023
80084329420228050191;Procedência;G1;Quarta;2022
80030204820228050074;Procedência;G1;Terça;2022
80345513720228050080;Procedência;G1;Segunda;2022
80332107320228050080;Procedência;G1;Sexta;2022
81668398920228050001;Procedência;G1;Sexta;2022
80064089320228050191;Procedência;G1;Sexta;2022
80053348420228050229;Procedência;G1;Quinta;2022
80053330220228050229;Procedência;G1;Quinta;2022
81585507020228050001;Procedência;G1;Quinta;2022
80299802320228050080;Procedência;G1;Quinta;2022
81552690920228050001;Procedência;G1;Quinta;2022
80056116520228050079;Procedência;G1;Quinta;2022
80020540920228050164;Procedência;G1;Terça;2022
80088255720228050146;Procedência;G1;Segunda;2022
81502814220228050001;Procedência;G1;Sexta;2022
80288258220228050080;Procedência;G1;Quinta;2022
81461347020228050001;Procedência;G1;Quinta;2022
80084721720228050146;Procedência;G1;Terça;2022
80036067420228050110;Procedência;G1;Segunda;2022
80007316820228050034;Procedência;G1;Sexta;2022
80041043820228050154;Procedência;G1;Quinta;2022
80152638720228050150;Procedência;G1;Terça;2022
80070649020228050113;Procedência;G1;Terça;2022
80067645520228050105;Procedência;G1;Quinta;2022
81327954420228050001;Procedência;G1;Terça;2022
81314738620228050001;Procedência;G1;Sexta;2022
80018948920228050032;Procedência;G1;Quinta;2022
80018297620228050038;Procedência;G1;Sexta;2022
80151160620228050039;Procedência;G1;Sexta;2022
80109871320228050150;Procedência;G1;Terça;2022
80055422820228050113;Procedência;G1;Terça;2022
80015924420228050199;Procedência;G1;Segunda;2022
80005657220228050119;Procedência;G1;Sexta;2022
81055921020228050001;Procedência;G1;Quarta;2022
81039059520228050001;Procedência;G1;Terça;2022
80025509720228050112;Procedência;G1;Terça;2022
80183307620228050080;Procedência;G1;Quarta;2022
80024548220228050112;Procedência;G1;Terça;2022
80007747020228050077;Procedência;G1;Sexta;2022
80074615420228050274;Procedência;G1;Quinta;2022
80045211520228050146;Procedência;G1;Terça;2022
80019378320228050110;Procedência;G1;Sexta;2022
80698286020228050001;Procedência;G1;Segunda;2022
80003546420228050045;Procedência;G1;Terça;2022
80013575320228050110;Procedência;G1;Sexta;2022
80540712620228050001;Procedência;G1;Quinta;2022
80442933220228050001;Procedência;G1;Sexta;2022
80418180620228050001;Procedência;G1;Segunda;2022
80076417020228050080;Procedência;G1;Terça;2022
80302785820228050001;Procedência;G1;Segunda;2022
80002921220228050243;Procedência;G1;Segunda;2022
80014986520228050274;Procedência;G1;Terça;2022
80121534220228050001;Procedência;G1;Terça;2022
80000590920228050245;Procedência;G1;Terça;2022
80001892920228050138;Procedência;G1;Segunda;2022
80001113720228050105;Procedência;G1;Segunda;2022
80000653520228050077;Procedência;G1;Quinta;2022
80010780620228050001;Procedência;G1;Quinta;2022
80010105620228050001;Procedência;G1;Quinta;2022
80000488720228050080;Procedência;G1;Terça;2022
80262746620218050080;Procedência;G1;Quarta;2021
81473024420218050001;Procedência;G1;;2021
81419890520218050001;Procedência;G1;Quarta;2021
81412729020218050001;Procedência;G1;Terça;2021
80017120720218050237;Procedência;G1;Quarta;2021
80065048520218050113;Procedência;G1;Quarta;2021
80083108820218050103;Procedência;G1;Quinta;2021
80069013320218050150;Procedência;G1;Terça;2021
81190867320218050001;Procedência;G1;Terça;2021
80004903220218050066;Procedência;G1;Quinta;2021
80103683620218050274;Procedência;G1;Quarta;2021
80051477020218050113;Procedência;G1;Segunda;2021
80161493920218050080;Procedência;G1;Sexta;2021
80132515320218050080;Procedência;G1;;2021
80029445120218050141;Procedência;G1;Sexta;2021
80029289720218050141;Procedência;G1;Quinta;2021
80130722220218050080;Procedência;G1;Quinta;2021
80007002720218050020;Procedência;G1;Terça;2021
80012557320218050172;Procedência;G1;Terça;2021
80006992820218050251;Procedência;G1;Quinta;2021
80046175220218050150;Procedência;G1;Quinta;2021
80824016720218050001;Procedência;G1;Quinta;2021
80038663920218050191;Procedência;G1;Terça;2021
80011263620218050021;Procedência;G1;Quarta;2021
80016762420218050088;Procedência;G1;Terça;2021
