numero_processo;dia_semana;ano
30854495320258060001;Terça;2025
02257145920258060001;Terça;2025
02068081820258060293;Sexta;2025
30034125320258060070;Quinta;2025
30830790420258060001;Quarta;2025
30027511420258060090;Segunda;2025
30063318320258060112;Quinta;2025
30050116120258060091;Quarta;2025
30797741220258060001;Quarta;2025
30022122220258060034;Segunda;2025
30775422720258060001;Sexta;2025
30031751920258060070;Sexta;2025
30021159220258060043;Quinta;2025
30061022620258060112;Quinta;2025
30772910920258060001;Quinta;2025
30022793120258060084;Terça;2025
30068244520258060117;Segunda;2025
30017353320258060055;Sexta;2025
30067924020258060117;Sexta;2025
02003067420258060160;Terça;2025
11005549520258060101;Terça;2025
30726021920258060001;Segunda;2025
30064927820258060117;Quinta;2025
06281381220258060000;Quinta;2025
30005365720258060125;Quinta;2025
30044807220258060091;Quinta;2025
30012154820258060128;Quarta;2025
02054254220248060001;Quarta;2025
06280706220258060000;Terça;2025
30031578020258060075;Terça;2025
30029465920258060070;Segunda;2025
02025009420258060112;Segunda;2025
30697762020258060001;Segunda;2025
30016305620258060055;;2025
30694549720258060001;Sexta;2025
02381164620238060001;Sexta;2025
02798876720248060001;Quinta;2025
00186481220258060001;Quinta;2025
30040149220258060151;Quinta;2025
02011518720228060168;Quinta;2025
30193154420258060001;Quinta;2025
02129070720258060001;Quarta;2025
02041997620238060117;Segunda;2025
30664660620258060001;Quinta;2025
02098577020258060001;Quarta;2025
02016083320258060001;Quarta;2025
02061849020248060167;Terça;2025
02004998620258060064;Segunda;2025
30004242220258060050;Segunda;2025
30639259720258060001;Sexta;2025
02187331420258060001;Quarta;2025
30014763820258060055;Terça;2025
30039390220258060071;Sexta;2025
30014590220258060055;Sexta;2025
02867304820248060001;Quinta;2025
02162085920258060001;Quinta;2025
30608435820258060001;Quarta;2025
30605378920258060001;Quarta;2025
02001989620248060122;Quarta;2025
02741941020218060001;Terça;2025
02741941020218060001;Terça;2025
02156811020258060001;Segunda;2025
02463550520248060001;Segunda;2025
02136618020248060001;Segunda;2025
02773142720228060001;Segunda;2025
02773142720228060001;Segunda;2025
30004920320248060051;Segunda;2025
02463550520248060001;Segunda;2025
02136618020248060001;Segunda;2025
30053520920258060117;Quinta;2025
02155538720258060001;Quinta;2025
02012755820248060117;Quinta;2025
02031439420258060001;Quinta;2025
30037401720258060091;Quarta;2025
30034363220258060151;Quarta;2025
02269935120238060001;Quarta;2025
02269935120238060001;Quarta;2025
30024494520258060070;Terça;2025
30000578920248060128;Terça;2025
02206628220258060001;;2025
02044958720258060001;Quinta;2025
30563746620258060001;Quinta;2025
30024423820258060075;Quarta;2025
30013584420258060158;Quarta;2025
30050629120258060117;Terça;2025
00504472120208060075;Terça;2025
30117710820258060000;Terça;2025
30117710820258060000;Terça;2025
30011924420258060115;Sexta;2025
02064507720248060167;Sexta;2025
30009230920258060049;Quinta;2025
30029879420248060091;Quarta;2025
30532195520258060001;Quarta;2025
30521854520258060001;Segunda;2025
30525076520258060001;Segunda;2025
30007409820258060126;Sexta;2025
30041348520258060297;Sexta;2025
30000706720238060114;Sexta;2025
30518433420258060001;Sexta;2025
30005100220258060144;Quinta;2025
30514605620258060001;Quinta;2025
30006560720258060156;Quinta;2025
30033146520258060071;Terça;2025
30503728020258060001;Terça;2025
02000475820258060167;Segunda;2025
02042300920248060167;Segunda;2025
02739610820248060001;Segunda;2025
30492287120258060001;Sexta;2025
08000219820248060117;Sexta;2025
30490988120258060001;Sexta;2025
30016616820258060090;Quinta;2025
30006206220258060156;Quinta;2025
30006214720258060156;Quinta;2025
30057909720258060064;Quarta;2025
30482604120258060001;Quarta;2025
02820545720248060001;Quarta;2025
02189999820258060001;Quarta;2025
30476628720258060001;Segunda;2025
02187331420258060001;;2025
30468712120258060001;Sexta;2025
30466633720258060001;Quinta;2025
30465508320258060001;Quarta;2025
30097895620258060000;Quarta;2025
30009791420258060220;Quarta;2025
02185426620258060001;Quarta;2025
30459679820258060001;Terça;2025
30456820820258060001;Segunda;2025
30010584020248060151;;2025
02551145520248060001;Sexta;2025
30444263020258060001;Quinta;2025
30094708820258060000;Quinta;2025
02003842720228060143;Quarta;2025
30033152420258060112;Quarta;2025
30437715820258060001;Quarta;2025
30435438320258060001;Terça;2025
30436840520258060001;Terça;2025
30028088920258060071;Terça;2025
30004637320258060032;Terça;2025
30009334320258060020;;2025
30424360420258060001;Sexta;2025
30011337820258060043;Sexta;2025
02057857420248060001;Sexta;2025
02057857420248060001;Sexta;2025
30017626820258060070;Quinta;2025
30089209320258060000;Quinta;2025
30089209320258060000;Quinta;2025
30007799120258060095;Quinta;2025
30049039520258060167;Quinta;2025
30048329320258060167;Quarta;2025
30415587920258060001;Quarta;2025
30414747820258060001;Quarta;2025
30409871120258060001;Terça;2025
30412053920258060001;Terça;2025
00517911520218060168;Terça;2025
02721862620228060001;Segunda;2025
30009123520258060160;Sexta;2025
30011310420258060013;Sexta;2025
02189408120238060001;Sexta;2025
02168901420258060001;Quinta;2025
30009498820248060001;Quarta;2025
30009342020258060055;Terça;2025
02166009620258060001;Segunda;2025
30376553620258060001;;2025
30346775720238060001;;2025
30346775720238060001;;2025
30008352620258060160;Sexta;2025
30372872720258060001;Sexta;2025
