generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1765920875-hdAjvzpbNVYla5f209gF,2025-12-16 21:34:35.124,0.001285,,-0.000022,0,0,4846,678,675,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,7280,7251,,trabalho-deep-learning-mestrado
gen-1765920864-Jec7NeIYKHp2SLmedfO3,2025-12-16 21:34:24.327,0.00089,,-0.000022,0,0,2725,736,733,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,10643,10617,,trabalho-deep-learning-mestrado
gen-1765920854-5GsQuRYitFfLXRTWk6Vy,2025-12-16 21:34:14.856,0.001121,,-0.000022,0,0,3724,799,796,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9421,9394,,trabalho-deep-learning-mestrado
gen-1765920840-7HnNIsppMzACagVgPqqy,2025-12-16 21:34:00.975,0.001542,,-0.000022,0,0,5805,809,806,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,13816,13797,,trabalho-deep-learning-mestrado
gen-1765920832-pqGtiMmZBdtNof0TD3Yl,2025-12-16 21:33:52.276,0.001478,,-0.000022,0,0,5978,611,608,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,8391,8372,,trabalho-deep-learning-mestrado
gen-1765920823-kK9qRBGRGVa2AwgBgfGf,2025-12-16 21:33:43.772,0.001145,,-0.000022,0,0,4318,610,607,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,8447,8429,,trabalho-deep-learning-mestrado
gen-1765920813-TCgXTrHmJ4WNtN10Ihzm,2025-12-16 21:33:33.441,0.000925,,-0.000022,0,0,2727,806,803,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,10249,10231,,trabalho-deep-learning-mestrado
gen-1765920803-srfMT5igTsuDglYzBBXy,2025-12-16 21:33:23.995,0.001414,,-0.000022,0,0,5415,709,706,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,9398,9376,,trabalho-deep-learning-mestrado
gen-1765920799-Fzy9c8VmEnM1MkTTe4ca,2025-12-16 21:33:19.085,0.00045,,-0.000022,0,0,1279,434,431,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,4754,4732,,trabalho-deep-learning-mestrado
gen-1765920776-Mbl2uHPUKlwa5E0Gktm1,2025-12-16 21:32:56.563,0.001742,,-0.000039,0,0,4989,1568,1565,x-ai/grok-4.1-fast,xAI,standard,false,true,,completed,stop,22476,22448,,trabalho-deep-learning-mestrado
