numero_processo;tipo_decisao;grau;dia_semana;ano
07550892120258070001;Procedência;G1;Terça;2025
07521722920258070001;Procedência;G1;Terça;2025
07489193320258070001;Procedência;G1;Sexta;2025
07474869120258070001;Procedência;G1;Sexta;2025
07471412820258070001;Procedência;G1;Quarta;2025
07470252220258070001;Procedência;G1;Quarta;2025
07465974020258070001;Procedência;G1;Segunda;2025
07463618820258070001;Procedência;G1;Sexta;2025
07214379220258070007;Procedência;G1;Segunda;2025
07434223820258070001;Procedência;G1;Sexta;2025
07386061320258070001;Procedência;G1;Quarta;2025
07368818620258070001;Procedência;G1;Terça;2025
07361101120258070001;Procedência;G1;Quinta;2025
07320084320258070001;Procedência;G1;Quarta;2025
07301654320258070001;Procedência;G1;Segunda;2025
07113568420258070007;Procedência;G1;Segunda;2025
07097923120258070020;Procedência;G1;Quinta;2025
07217584820258070001;Procedência;G1;Segunda;2025
07217090720258070001;Procedência;G1;Segunda;2025
07210916220258070001;Procedência;G1;Quinta;2025
07208343720258070001;Procedência;G1;Quinta;2025
07204438220258070001;Procedência;G1;Terça;2025
07200099320258070001;Procedência;G1;Quinta;2025
07120722620258070003;Procedência;G1;Terça;2025
07091742820258070007;Procedência;G1;;2025
07189125820258070001;Procedência;G1;Sexta;2025
07034095520258070014;Procedência;G1;Sexta;2025
07182006820258070001;Procedência;G1;Terça;2025
07180508720258070001;Procedência;G1;Terça;2025
07172644320258070001;Procedência;G1;Quarta;2025
07168426820258070001;Procedência;G1;Terça;2025
07161377020258070001;Procedência;G1;Sexta;2025
07040654220258070004;Procedência;G1;Quinta;2025
07040585020258070004;Procedência;G1;Quarta;2025
07019822920258070012;Procedência;G1;Quarta;2025
07057870520258070007;Procedência;G1;Segunda;2025
07045959520258070020;Procedência;G1;Sexta;2025
07017101420258070019;Procedência;G1;Quinta;2025
07150382020258070016;Procedência;G1;;2025
07028369620258070020;Procedência;G1;Quarta;2025
07021259120258070020;Procedência;G1;Terça;2025
07052840220258070001;Procedência;G1;Segunda;2025
07049601220258070001;Procedência;G1;Sexta;2025
07022302220258070003;Procedência;G1;Quinta;2025
07020033820258070001;Procedência;G1;Quinta;2025
07005374920258070020;Procedência;G1;Segunda;2025
07006938820258070003;Procedência;G1;Quinta;2025
07006705120258070001;Procedência;G1;Quarta;2025
07000361620258070014;Procedência;G1;Sexta;2025
07125278920248070014;Procedência;G1;Quinta;2024
07164505620248070004;Procedência;G1;Quarta;2024
07557019020248070001;Procedência;G1;Terça;2024
07297151920248070007;Procedência;G1;;2024
07123190820248070014;Procedência;G1;Sexta;2024
07196176620248070009;Procedência;G1;Segunda;2024
07526913820248070001;Procedência;G1;Segunda;2024
07253212720248070020;Procedência;G1;Sexta;2024
07508890520248070001;Procedência;G1;Quinta;2024
07072103120248070008;Procedência;G1;Quarta;2024
07273343820248070007;Procedência;G1;Sexta;2024
07243062320248070020;Procedência;G1;Quinta;2024
07166973120248070006;Procedência;G1;Quinta;2024
07499693120248070001;Procedência;G1;Quarta;2024
07237086920248070020;Procedência;G1;Quinta;2024
07480362320248070001;Procedência;G1;Sexta;2024
07473408420248070001;Procedência;G1;Terça;2024
07472187120248070001;Procedência;G1;Terça;2024
07467207220248070001;Procedência;G1;Sexta;2024
07466314920248070001;Procedência;G1;Quinta;2024
07455688620248070001;Procedência;G1;;2024
07455601220248070001;Procedência;G1;Sexta;2024
07436590920248070001;Procedência;G1;Terça;2024
07311001420248070003;Procedência;G1;Segunda;2024
07425315120248070001;Procedência;G1;Terça;2024
07421703420248070001;Procedência;G1;Segunda;2024
07421070920248070001;Procedência;G1;Segunda;2024
07201534420248070020;Procedência;G1;Segunda;2024
07407361020248070001;Procedência;G1;;2024
07079210320248070019;Procedência;G1;Quinta;2024
07385025520248070001;Procedência;G1;Terça;2024
07378053420248070001;Procedência;G1;Quinta;2024
07361018320248070001;Procedência;G1;Terça;2024
07123869420248070006;Procedência;G1;Sexta;2024
07354964020248070001;Procedência;G1;Quinta;2024
07117287320248070005;Procedência;G1;Quarta;2024
07348312420248070001;Procedência;G1;Terça;2024
07174963220248070020;Procedência;G1;Segunda;2024
07115494220248070005;Procedência;G1;Sexta;2024
07120733620248070006;Procedência;G1;Sexta;2024
07120188520248070006;Procedência;G1;Quinta;2024
07190971520248070007;Procedência;G1;Terça;2024
07106773020248070004;Procedência;G1;Terça;2024
07061214320248070017;Procedência;G1;Sexta;2024
07164077120248070020;Procedência;G1;Segunda;2024
07097722520248070004;Procedência;G1;Quarta;2024
07301760920248070001;Procedência;G1;Segunda;2024
07298479420248070001;Procedência;G1;Sexta;2024
07296123020248070001;Procedência;G1;Quinta;2024
07293204520248070001;Procedência;G1;Quarta;2024
07105075220248070006;Procedência;G1;Terça;2024
07291308220248070001;Procedência;G1;Terça;2024
07290355220248070001;Procedência;G1;Segunda;2024
07219284820248070003;Procedência;G1;Segunda;2024
07287791220248070001;Procedência;G1;Sexta;2024
07099636720248070005;Procedência;G1;Sexta;2024
07089771920248070004;Procedência;G1;Segunda;2024
07057333720248070019;Procedência;G1;Segunda;2024
07155506420248070007;Procedência;G1;Terça;2024
07261887720248070001;Procedência;G1;Quarta;2024
07082722120248070004;Procedência;G1;Terça;2024
07196524420248070003;Procedência;G1;Segunda;2024
07191760620248070003;Procedência;G1;Quarta;2024
07245085720248070001;Procedência;G1;Terça;2024
07046336820248070012;Procedência;G1;Segunda;2024
07234424220248070001;Procedência;G1;Terça;2024
07056382220248070014;Procedência;G1;Sexta;2024
07227036920248070001;Procedência;G1;Sexta;2024
07223668020248070001;Procedência;G1;Quarta;2024
07040715920248070012;Procedência;G1;Sexta;2024
07211075020248070001;Procedência;G1;Segunda;2024
07210928120248070001;Procedência;G1;Segunda;2024
07073437920248070006;Procedência;G1;Quinta;2024
07190168420248070001;Procedência;G1;Quarta;2024
07145686220248070003;Procedência;G1;Segunda;2024
07179255620248070001;Procedência;G1;Quarta;2024
07177895920248070001;Procedência;G1;Terça;2024
07172803120248070001;Procedência;G1;Sexta;2024
07134349720248070003;Procedência;G1;Quinta;2024
07170213620248070001;Procedência;G1;Terça;2024
07170092220248070001;Procedência;G1;Terça;2024
07130859420248070003;Procedência;G1;Segunda;2024
07155351620248070001;Procedência;G1;Segunda;2024
