numero_processo;tipo_decisao;grau;dia_semana;ano
57735106120258090051;Procedência;G1;Terça;2025
56528893520258090051;Procedência;G1;Sexta;2025
56483676220258090051;Procedência;G1;Quinta;2025
56283500520258090051;Procedência;G1;Quinta;2025
56122567920258090051;Procedência;G1;;2025
55982194720258090051;Procedência;G1;Terça;2025
55980133320258090051;Procedência;G1;Terça;2025
55780581620258090051;Procedência;G1;Terça;2025
55619657520258090051;Procedência;G1;Quarta;2025
55594368320258090051;Procedência;G1;Terça;2025
55593398320258090051;Procedência;G1;Terça;2025
55314635620258090051;Procedência;G1;;2025
55214612720258090051;Procedência;G1;Quarta;2025
55056866920258090051;Procedência;G1;Sexta;2025
55061716920258090051;Procedência;G1;Sexta;2025
54795650420258090051;Procedência;G1;Quarta;2025
54819294620258090051;Procedência;G1;Quarta;2025
54511779120258090051;Procedência;G1;Segunda;2025
54503282220258090051;Procedência;G1;;2025
54256901920258090149;Procedência;G1;Sexta;2025
54186387220258090051;Procedência;G1;Quinta;2025
54208462920258090051;Procedência;G1;Quinta;2025
54165644520258090051;Procedência;G1;Quarta;2025
54108496020258090006;Procedência;G1;Terça;2025
54141394520258090051;Procedência;G1;Terça;2025
53891143020258090051;Procedência;G1;Terça;2025
53738524020258090051;Procedência;G1;Quinta;2025
53690105520258090006;Procedência;G1;Terça;2025
53398532220258090011;Procedência;G1;;2025
53274093120258090051;Procedência;G1;Terça;2025
53228928020258090051;Procedência;G1;Segunda;2025
52983300720258090051;Procedência;G1;Quarta;2025
52818643520258090051;Procedência;G1;Quinta;2025
52621075520258090051;Procedência;G1;Sexta;2025
52542185020258090051;Procedência;G1;Quarta;2025
52509104420258090006;Procedência;G1;Terça;2025
52469425220258090023;Procedência;G1;Segunda;2025
52144069520258090149;Procedência;G1;Quinta;2025
52085011520258090051;Procedência;G1;Quarta;2025
52045469420258090044;Procedência;G1;Terça;2025
51988748420258090051;Procedência;G1;Segunda;2025
51896294920258090051;Procedência;G1;Quinta;2025
51831133520258090076;Procedência;G1;Terça;2025
51769753020258090051;Procedência;G1;Segunda;2025
51743095620258090051;Procedência;G1;Sexta;2025
51729073720258090051;Procedência;G1;Sexta;2025
51743051920258090051;Procedência;G1;Sexta;2025
51576333320258090051;Procedência;G1;Quinta;2025
51314667620258090051;Procedência;G1;Quarta;2025
51062423920258090051;Procedência;G1;Quarta;2025
50968143320258090051;Procedência;G1;;2025
50798881020258090137;Procedência;G1;Terça;2025
50760320520258090051;Procedência;G1;;2025
50698950720258090051;Procedência;G1;Quinta;2025
50674891320258090051;Procedência;G1;Quinta;2025
50620526920258090122;Procedência;G1;Terça;2025
50273484920258090051;Procedência;G1;Quinta;2025
