numero_processo;tipo_decisao;grau;dia_semana;ano
08045686220268100001;Procedência;G1;Quinta;2026
08886271720258100001;Procedência;G1;Segunda;2025
08658348420258100001;Procedência;G1;;2025
08007056020258100122;Procedência;G1;Quinta;2025
08023331220258100049;Procedência;G1;;2025
08502637320258100001;Procedência;G1;Quarta;2025
08039792920258100026;Procedência;G1;Terça;2025
08436512220258100001;Procedência;G1;;2025
08423088820258100001;Procedência;G1;Quarta;2025
08208987120258100001;Procedência;G1;Terça;2025
08198281920258100001;Procedência;G1;Sexta;2025
08129118120258100001;Procedência;G1;Quarta;2025
08045264720258100001;Procedência;G1;Segunda;2025
08035166520258100001;Procedência;G1;Quinta;2025
08006776720258100001;Procedência;G1;Terça;2025
09012626420248100001;Procedência;G1;Sexta;2024
08969738820248100001;Procedência;G1;Quarta;2024
08010546820248100067;Procedência;G1;;2024
08068775020248100058;Procedência;G1;;2024
08219172920248100040;Procedência;G1;Terça;2024
08107321220248100034;Procedência;G1;Quarta;2024
08810745020248100001;Procedência;G1;Quinta;2024
08799381820248100001;Procedência;G1;Segunda;2024
08786936920248100001;Procedência;G1;Quinta;2024
08768082020248100001;Procedência;G1;Quinta;2024
08748907820248100001;Procedência;G1;Quinta;2024
08736115720248100001;Procedência;G1;Segunda;2024
08019212620248100014;Procedência;G1;;2024
08051202120248100058;Procedência;G1;Sexta;2024
08165139420248100040;Procedência;G1;Sexta;2024
08550768020248100001;Procedência;G1;;2024
08020505620248100038;Procedência;G1;Terça;2024
08069673320248100034;Procedência;G1;Segunda;2024
08141746520248100040;Procedência;G1;Sexta;2024
08082103120248100060;Procedência;G1;Terça;2024
08445436220248100001;Procedência;G1;Segunda;2024
08445384020248100001;Procedência;G1;Segunda;2024
08076031820248100060;Procedência;G1;Terça;2024
08418613720248100001;Procedência;G1;Segunda;2024
08418458320248100001;Procedência;G1;Segunda;2024
08411710820248100001;Procedência;G1;;2024
08059531420248100034;Procedência;G1;Sexta;2024
08371230620248100001;Procedência;G1;Quarta;2024
08351675220248100001;Procedência;G1;Quinta;2024
08259282420248100001;Procedência;G1;;2024
08051634920248100060;Procedência;G1;Quinta;2024
08240575620248100001;Procedência;G1;Quarta;2024
08063453320248100040;Procedência;G1;Segunda;2024
08004781720248100054;Procedência;G1;Terça;2024
08008317220248100049;Procedência;G1;Terça;2024
08094711420248100001;Procedência;G1;Quarta;2024
08091499120248100001;Procedência;G1;Terça;2024
08055513220248100001;Procedência;G1;Quinta;2024
08032406820248100001;Procedência;G1;Segunda;2024
08003914320248100060;Procedência;G1;Terça;2024
08802919220238100001;Procedência;G1;Sexta;2023
08038657720238100053;Procedência;G1;Segunda;2023
08783050620238100001;Procedência;G1;;2023
08770293720238100001;Procedência;G1;Terça;2023
08768908520238100001;Procedência;G1;Segunda;2023
08682457120238100001;Procedência;G1;Segunda;2023
08256313120238100040;Procedência;G1;;2023
08629436120238100001;Procedência;G1;;2023
08239554820238100040;Procedência;G1;Quinta;2023
08238515620238100040;Procedência;G1;Quarta;2023
08617804620238100001;Procedência;G1;Segunda;2023
08233353620238100040;Procedência;G1;Quarta;2023
08599418320238100001;Procedência;G1;Segunda;2023
08599409820238100001;Procedência;G1;Segunda;2023
08040439220238100128;Procedência;G1;Sexta;2023
08561804420238100001;Procedência;G1;Quinta;2023
08544647920238100001;Procedência;G1;Terça;2023
08035843920238100048;Procedência;G1;Terça;2023
08543824820238100001;Procedência;G1;Terça;2023
08543001720238100001;Procedência;G1;Terça;2023
08541564320238100001;Procedência;G1;Segunda;2023
08032351220238100056;Procedência;G1;Terça;2023
08489703920238100001;Procedência;G1;Segunda;2023
08481684120238100001;Procedência;G1;Quarta;2023
08477691220238100001;Procedência;G1;Terça;2023
08188672920238100040;Procedência;G1;Segunda;2023
08455009720238100001;Procedência;G1;Quinta;2023
08452437220238100001;Procedência;G1;Quarta;2023
08031145920238100128;Procedência;G1;Quarta;2023
08173984520238100040;Procedência;G1;Quarta;2023
08430569120238100001;Procedência;G1;Segunda;2023
08411791920238100001;Procedência;G1;Sexta;2023
08353107520238100001;Procedência;G1;Segunda;2023
08041489020238100024;Procedência;G1;Terça;2023
08333940620238100001;Procedência;G1;Quinta;2023
08311605120238100001;Procedência;G1;Quarta;2023
08091326920238100040;Procedência;G1;Sexta;2023
08195049720238100001;Procedência;G1;Quarta;2023
08190719320238100001;Procedência;G1;Terça;2023
08148653620238100001;Procedência;G1;Quinta;2023
08059933220238100001;Procedência;G1;Sexta;2023
08059916220238100001;Procedência;G1;Sexta;2023
08057534320238100001;Procedência;G1;Quinta;2023
08016959420238100001;Procedência;G1;Sexta;2023
08001049720238100001;Procedência;G1;Segunda;2023
08735610220228100001;Procedência;G1;Quinta;2022
08068435720228100022;Procedência;G1;Quarta;2022
08273508220228100040;Procedência;G1;Quarta;2022
08670923720228100001;Procedência;G1;Quinta;2022
08651584420228100001;Procedência;G1;Terça;2022
08635207320228100001;Procedência;G1;;2022
08628235220228100001;Procedência;G1;Terça;2022
08010336320228100067;Procedência;G1;Sexta;2022
08620596620228100001;Procedência;G1;Quinta;2022
08614022720228100001;Procedência;G1;Terça;2022
08603750920228100001;Procedência;G1;Sexta;2022
08009528920228100140;Procedência;G1;Segunda;2022
08050420920228100022;Procedência;G1;Quarta;2022
08539956720228100001;Procedência;G1;Terça;2022
08484329220228100001;Procedência;G1;Quinta;2022
08466687120228100001;Procedência;G1;Quinta;2022
08037508620228100022;Procedência;G1;Sexta;2022
