numero_processo;tipo_decisao;grau;dia_semana;ano
08048138120258120800;Procedência;G1;Quinta;2025
08018591920258120006;Procedência;G1;Quarta;2025
08022856820258120026;Procedência;G1;Quarta;2025
08012231220258120052;Procedência;G1;Quarta;2025
08015793620258120010;Procedência;G1;Terça;2025
08030003420258120019;Procedência;G1;Terça;2025
08015308920258120011;Procedência;G1;Quinta;2025
08015272920258120046;Procedência;G1;Segunda;2025
08008776020258120020;Procedência;G1;Quarta;2025
08328153320258120001;Procedência;G1;Terça;2025
08005591120258120042;Procedência;G1;Quinta;2025
08012112420258120011;Procedência;G1;Quinta;2025
08298724320258120001;Procedência;G1;Quarta;2025
08007018120258120020;Procedência;G1;Quinta;2025
08031380420258120018;Procedência;G1;Terça;2025
08043345720258120002;Procedência;G1;Terça;2025
08010697220258120026;Procedência;G1;Segunda;2025
08003822820258120016;Procedência;G1;Quarta;2025
08006657820258120007;Procedência;G1;;2025
08003045320258120042;Procedência;G1;Sexta;2025
08018199820258120018;Procedência;G1;Segunda;2025
08002847720258120037;Procedência;G1;Sexta;2025
08006909720258120005;Procedência;G1;Quarta;2025
08023495320258120002;Procedência;G1;Quinta;2025
08000917120258120034;Procedência;G1;Terça;2025
08014458220258120018;Procedência;G1;Segunda;2025
08001431620258120051;Procedência;G1;Segunda;2025
08002267020258120006;Procedência;G1;;2025
08003070420258120011;Procedência;G1;Quinta;2025
08001135920258120025;Procedência;G1;Sexta;2025
08139603720248120002;Procedência;G1;Terça;2024
08137854320248120002;Procedência;G1;Sexta;2024
08007484720248120034;Procedência;G1;Sexta;2024
08010348020248120048;Procedência;G1;Quarta;2024
08021698120248120031;Procedência;G1;Quarta;2024
08693551720248120001;Procedência;G1;Quarta;2024
08132233420248120002;Procedência;G1;Segunda;2024
08669527520248120001;Procedência;G1;Sexta;2024
08078974520248120018;Procedência;G1;Quinta;2024
08126863820248120002;Procedência;G1;Segunda;2024
08011810620248120049;Procedência;G1;Sexta;2024
08063117320248120017;Procedência;G1;Sexta;2024
08071708620248120018;Procedência;G1;Segunda;2024
08017390720248120007;Procedência;G1;Quarta;2024
08012671320248120037;Procedência;G1;Sexta;2024
08029398920248120026;Procedência;G1;Quarta;2024
08024266920248120011;Procedência;G1;Terça;2024
08009661220248120055;Procedência;G1;Segunda;2024
08016455920248120007;Procedência;G1;;2024
08065628820248120018;Procedência;G1;Quinta;2024
08027995520248120026;Procedência;G1;Terça;2024
08550148320248120001;Procedência;G1;;2024
08028505720248120029;Procedência;G1;Sexta;2024
08027778520248120029;Procedência;G1;Segunda;2024
08044764420248120019;Procedência;G1;;2024
08060293220248120018;Procedência;G1;Quarta;2024
08007515720248120048;Procedência;G1;Quarta;2024
08515314520248120001;Procedência;G1;Quarta;2024
08514197620248120001;Procedência;G1;Terça;2024
