numero_processo;tipo_decisao;grau;dia_semana;ano
10216494120258110003;Procedência;G1;Sexta;2025
10012411120258110009;Procedência;G1;Sexta;2025
10003114120258110090;Procedência;G1;Quarta;2025
10003105620258110090;Procedência;G1;Quarta;2025
10055975820258110006;Procedência;G1;Sexta;2025
10060323620258110037;Procedência;G1;Sexta;2025
10037225020258110007;Procedência;G1;Segunda;2025
10057275220258110037;Procedência;G1;Segunda;2025
10439661620258110041;Procedência;G1;Quarta;2025
10004848220258110052;Procedência;G1;Quarta;2025
10140329120258110015;Procedência;G1;Quarta;2025
10003938220258110022;Procedência;G1;Terça;2025
10112955420258110003;Procedência;G1;Sexta;2025
10154085420258110002;Procedência;G1;Quarta;2025
10013234820258110007;Procedência;G1;Sexta;2025
10021696320258110040;Procedência;G1;Quarta;2025
10001368720258110109;Procedência;G1;Segunda;2025
10063353820258110041;Procedência;G1;Quinta;2025
10010610420258110006;Procedência;G1;Segunda;2025
10009631920258110006;Procedência;G1;Sexta;2025
10004144420258110059;Procedência;G1;Quarta;2025
10001302920258110029;Procedência;G1;Quarta;2025
10001985220258110037;Procedência;G1;Sexta;2025
10042935220248110008;Procedência;G1;Quinta;2024
10011280620248110102;Procedência;G1;Quinta;2024
10802375820248110041;Procedência;G1;Quarta;2024
10022485320248110080;Procedência;G1;Quarta;2024
10009032220248110090;Procedência;G1;Quinta;2024
10750186420248110041;Procedência;G1;Quarta;2024
10311132620248110003;Procedência;G1;Quarta;2024
10674413520248110041;Procedência;G1;Segunda;2024
10040033720248110008;Procedência;G1;;2024
10115001520248110037;Procedência;G1;Terça;2024
10093668820248110045;Procedência;G1;;2024
10009519620248110084;Procedência;G1;Quinta;2024
10416332820248110041;Procedência;G1;;2024
10019913420248110078;Procedência;G1;Quinta;2024
10022390520248110044;Procedência;G1;Terça;2024
10213280420248110015;Procedência;G1;Quinta;2024
10213055820248110015;Procedência;G1;Quarta;2024
10221502920248110003;Procedência;G1;Sexta;2024
10115815220248110040;Procedência;G1;Segunda;2024
10370803520248110041;Procedência;G1;Quinta;2024
10009992320248110030;Procedência;G1;Terça;2024
10188087120248110015;Procedência;G1;Segunda;2024
10007950320248110022;Procedência;G1;Quarta;2024
10005971720248110102;Procedência;G1;Terça;2024
10083814220248110006;Procedência;G1;Sexta;2024
10049171020248110006;Procedência;G1;Sexta;2024
10236337720248110041;Procedência;G1;Quinta;2024
10047509420248110037;Procedência;G1;Sexta;2024
10041974020248110007;Procedência;G1;Terça;2024
10122958720248110015;Procedência;G1;Segunda;2024
10009694820248110010;Procedência;G1;Terça;2024
10185602720248110041;Procedência;G1;Terça;2024
10039341120248110006;Procedência;G1;Terça;2024
10035427120248110006;Procedência;G1;Quarta;2024
10003235720248110036;Procedência;G1;Quarta;2024
10139294020248110041;Procedência;G1;Quarta;2024
10135154220248110041;Procedência;G1;Sexta;2024
10199713120248110001;Procedência;G1;Quarta;2024
10108773620248110041;Procedência;G1;Quarta;2024
10035617220248110040;Procedência;G1;Terça;2024
10005421220248110023;Procedência;G1;Sexta;2024
10092751020248110041;Procedência;G1;Terça;2024
10001287120248110101;Procedência;G1;Segunda;2024
10009332220248110037;Procedência;G1;Terça;2024
10075908820248110001;Procedência;G1;Segunda;2024
10008349520248110055;Procedência;G1;Quinta;2024
10000701420248110022;Procedência;G1;Segunda;2024
10006322120248110055;Procedência;G1;Sexta;2024
10000839620248110059;Procedência;G1;Quinta;2024
10002238720248110041;Procedência;G1;Quinta;2024
10425162620238110003;Procedência;G1;Terça;2023
10045791320238110025;Procedência;G1;Terça;2023
10116182520238110037;Procedência;G1;Segunda;2023
10107797320238110045;Procedência;G1;Segunda;2023
10175426020238110055;Procedência;G1;Sexta;2023
10007262420238110048;Procedência;G1;Quarta;2023
10464220720238110041;Procedência;G1;Terça;2023
10417645720238110002;Procedência;G1;;2023
10038815220238110010;Procedência;G1;Terça;2023
10035766520238110011;Procedência;G1;Segunda;2023
10088043320238110007;Procedência;G1;;2023
10417938720238110041;Procedência;G1;Quarta;2023
10100489720238110006;Procedência;G1;;2023
10256587820238110015;Procedência;G1;Quinta;2023
10026825520238110087;Procedência;G1;Sexta;2023
10026496320238110023;Procedência;G1;Quarta;2023
10012177220238110099;Procedência;G1;Sexta;2023
10011321420238110026;Procedência;G1;Quinta;2023
10227132120238110015;Procedência;G1;Quarta;2023
10331253020238110041;Procedência;G1;Quarta;2023
10030093720238110010;Procedência;G1;Segunda;2023
10323666620238110041;Procedência;G1;Sexta;2023
10005128320238110096;Procedência;G1;Quinta;2023
10028197420238110010;Procedência;G1;Terça;2023
10306370520238110041;Procedência;G1;Terça;2023
10006375420238110095;Procedência;G1;Segunda;2023
10022541320238110010;Procedência;G1;Segunda;2023
10011178720238110012;Procedência;G1;Segunda;2023
10216005120238110041;Procedência;G1;Quarta;2023
10019735720238110010;Procedência;G1;Terça;2023
10009177420238110014;Procedência;G1;Segunda;2023
10128247920238110003;Procedência;G1;Quarta;2023
10046005020238110037;Procedência;G1;Segunda;2023
10016279520238110046;Procedência;G1;Sexta;2023
10141885020238110015;Procedência;G1;Quarta;2023
10171263720238110041;Procedência;G1;Sexta;2023
10169367420238110041;Procedência;G1;Quinta;2023
10132843020238110015;Procedência;G1;Terça;2023
10013197020238110010;Procedência;G1;Sexta;2023
10062158020238110003;Procedência;G1;Sexta;2023
10056484920238110003;Procedência;G1;Sexta;2023
10052621920238110003;Procedência;G1;Terça;2023
10004224220238110010;Procedência;G1;Quinta;2023
10003537020238110087;Procedência;G1;Sexta;2023
10003398620238110087;Procedência;G1;Quarta;2023
10018636220238110041;Procedência;G1;Segunda;2023
10316569720228110003;Procedência;G1;Quinta;2022
10480368120228110041;Procedência;G1;;2022
10097626020228110037;Procedência;G1;Quinta;2022
10007517120228110048;Procedência;G1;Quarta;2022
10035864920228110010;Procedência;G1;Terça;2022
10397250420228110041;Procedência;G1;Terça;2022
10015380820228110014;Procedência;G1;Terça;2022
10385957620228110041;Procedência;G1;Segunda;2022
10383800320228110041;Procedência;G1;Sexta;2022
10383169020228110041;Procedência;G1;Sexta;2022
10024551520228110018;Procedência;G1;Quinta;2022
10349036920228110041;Procedência;G1;Terça;2022
10006584620228110101;Procedência;G1;Quinta;2022
10008759220228110100;Procedência;G1;Segunda;2022
10010988920228110053;Procedência;G1;Segunda;2022
10018448120228110044;Procedência;G1;;2022
10223839720228110002;Procedência;G1;Sexta;2022
10233139520228110041;Procedência;G1;Sexta;2022
