numero_processo;tipo_decisao;grau;dia_semana;ano
08045364520258140045;Procedência;G1;Sexta;2025
08019245120258140008;Procedência;G1;Segunda;2025
08007873120258140009;Procedência;G1;Sexta;2025
08001464120258140042;Procedência;G1;Quarta;2025
08000172120258140047;Procedência;G1;Quarta;2025
08021498820248140046;Procedência;G1;Quinta;2024
08031649420248140013;Procedência;G1;;2024
08070385420248140024;Procedência;G1;Sexta;2024
08012058620248140046;Procedência;G1;Segunda;2024
08009505920228140027;Procedência;G1;Sexta;2022
08000745920258140008;Procedência;G1;Sexta;2025
08045605920248140061;Procedência;G1;Terça;2024
08012031920248140046;Procedência;G1;Segunda;2024
08081664620238140024;Improcedência;G1;Quarta;2023
