numero_processo;tipo_decisao;grau;dia_semana;ano
08623036320258152001;Procedência;G1;;2025
08009175420258150571;Procedência;G1;Quinta;2025
08535043120258152001;Procedência;G1;Segunda;2025
08093331620258150731;Procedência;G1;Quinta;2025
08325366320258150001;Procedência;G1;Quinta;2025
08083891420258150731;Procedência;G1;Quinta;2025
08394047120258152001;Procedência;G1;Quarta;2025
08365752020258152001;Procedência;G1;Sexta;2025
08230132720258150001;Procedência;G1;Quinta;2025
08010491320258150151;Procedência;G1;Terça;2025
08009322220258150151;Procedência;G1;Quinta;2025
08295054920258152001;Procedência;G1;Terça;2025
08030074020258150731;Procedência;G1;Quinta;2025
08253431120258152001;Procedência;G1;Quinta;2025
08240847820258152001;Procedência;G1;Sexta;2025
08223084320258152001;Procedência;G1;Quarta;2025
08187904520258152001;Procedência;G1;Segunda;2025
08118548720258150001;Procedência;G1;Quarta;2025
08104639720258150001;Procedência;G1;Segunda;2025
08013121820258152003;Procedência;G1;Sexta;2025
08087483420258152001;Procedência;G1;Terça;2025
08009817020258150181;Procedência;G1;Quinta;2025
08035041320258150001;Procedência;G1;Segunda;2025
08016820320258152001;Procedência;G1;Quinta;2025
08016128320258152001;Procedência;G1;Quarta;2025
08008201820258150001;Procedência;G1;Sexta;2025
08430293620248150001;Procedência;G1;Terça;2024
08798392420248152001;Procedência;G1;Terça;2024
08798383920248152001;Procedência;G1;Terça;2024
08110933420248150731;Procedência;G1;Quarta;2024
08053489720248150141;Procedência;G1;Sexta;2024
08012534220248157701;Procedência;G1;Sexta;2024
08698725220248152001;Procedência;G1;Quinta;2024
08351671420248150001;Procedência;G1;Sexta;2024
08100592420248150731;Procedência;G1;Quinta;2024
08019574420248150171;Procedência;G1;;2024
08658686920248152001;Procedência;G1;Segunda;2024
08097344920248150731;Procedência;G1;Quarta;2024
08095880820248150731;Procedência;G1;Terça;2024
08320675120248150001;Procedência;G1;Sexta;2024
08311417020248150001;Procedência;G1;Sexta;2024
08610740520248152001;Procedência;G1;Sexta;2024
08608662120248152001;Procedência;G1;Quinta;2024
08309043620248150001;Procedência;G1;Quinta;2024
08299603420248150001;Procedência;G1;Quinta;2024
08271898320248150001;Procedência;G1;Quarta;2024
08508839520248152001;Procedência;G1;;2024
08005814720248150551;Procedência;G1;Segunda;2024
08014173120248150321;Procedência;G1;Quarta;2024
08456372120248152001;Procedência;G1;Sexta;2024
08448318320248152001;Procedência;G1;Terça;2024
08188798820248150001;Procedência;G1;Terça;2024
08359736320248152001;Procedência;G1;;2024
08054395120248150251;Procedência;G1;Quinta;2024
08340189420248152001;Procedência;G1;Quarta;2024
08172949820248150001;Procedência;G1;Terça;2024
08035512920248152003;Procedência;G1;Sexta;2024
08319559620248152001;Procedência;G1;Terça;2024
08137621920248150001;Procedência;G1;Terça;2024
08253287620248152001;Procedência;G1;Quarta;2024
08046064820248150731;Procedência;G1;Terça;2024
08242868920248152001;Procedência;G1;;2024
08221979320248152001;Procedência;G1;Quinta;2024
08102676420248150001;Procedência;G1;Quarta;2024
08147331820248152001;Procedência;G1;Quinta;2024
08079283520248150001;Procedência;G1;Quinta;2024
08133076820248152001;Procedência;G1;Quinta;2024
08018628120248150181;Procedência;G1;Quinta;2024
08006151220248150231;Procedência;G1;Sexta;2024
08099759320248152001;Procedência;G1;Quarta;2024
08001016120248151071;Procedência;G1;;2024
08065038420248152001;Procedência;G1;Quinta;2024
08013220520248152001;Procedência;G1;;2024
08011272020248152001;Procedência;G1;Quinta;2024
08007046020248152001;Procedência;G1;Terça;2024
08000071120248150911;Procedência;G1;;2024
08438160220238150001;Procedência;G1;;2023
08709537020238152001;Procedência;G1;Quarta;2023
