numero_processo;tipo_decisao;grau;dia_semana;ano
00875494020258172001;Procedência;G1;Segunda;2025
00835265120258172001;Procedência;G1;Terça;2025
00171525120258172810;Procedência;G1;Terça;2025
00698130920258172001;Procedência;G1;Segunda;2025
00654480920258172001;Procedência;G1;Terça;2025
00009218520258172021;Procedência;G1;Terça;2025
00627243220258172001;Procedência;G1;Segunda;2025
00617482520258172001;Procedência;G1;Quinta;2025
00557516120258172001;Procedência;G1;Sexta;2025
00527134120258172001;Procedência;G1;Quarta;2025
00028685420258174001;Procedência;G1;Segunda;2025
00509397320258172001;Procedência;G1;Terça;2025
00509787020258172001;Procedência;G1;Terça;2025
00508739320258172001;Procedência;G1;Terça;2025
00001943820258173570;Procedência;G1;Quinta;2025
00484280520258172001;Procedência;G1;Segunda;2025
00484730920258172001;Procedência;G1;Segunda;2025
00485017420258172001;Procedência;G1;Segunda;2025
00012498720258174810;Procedência;G1;;2025
00025922320258174001;Procedência;G1;;2025
00023339720258173590;Procedência;G1;;2025
00446295120258172001;Procedência;G1;Terça;2025
00419057420258172001;Procedência;G1;Segunda;2025
00414215920258172001;Procedência;G1;Sexta;2025
00414561920258172001;Procedência;G1;Sexta;2025
00016357220258173370;Procedência;G1;Quinta;2025
00410422120258172001;Procedência;G1;Quinta;2025
00400194020258172001;Procedência;G1;Terça;2025
00381833220258172001;Procedência;G1;Quarta;2025
00374965520258172001;Procedência;G1;Terça;2025
00376256020258172001;Procedência;G1;Terça;2025
00006997020258172360;Procedência;G1;Terça;2025
00370981120258172001;Procedência;G1;Segunda;2025
00367924220258172001;Procedência;G1;Sexta;2025
00002381920258172160;Procedência;G1;Terça;2025
00360069520258172001;Procedência;G1;Terça;2025
00002390420258172160;Procedência;G1;Terça;2025
00355167320258172001;Procedência;G1;Segunda;2025
00355427120258172001;Procedência;G1;Segunda;2025
00336320920258172001;Procedência;G1;Terça;2025
00331575320258172001;Procedência;G1;Quinta;2025
00329427720258172001;Procedência;G1;Quarta;2025
00330778920258172001;Procedência;G1;Quarta;2025
00323650220258172001;Procedência;G1;Terça;2025
00320507120258172001;Procedência;G1;Segunda;2025
00310088420258172001;Procedência;G1;Quinta;2025
00308485920258172001;Procedência;G1;Quarta;2025
00298456920258172001;Procedência;G1;Segunda;2025
00299140420258172001;Procedência;G1;Segunda;2025
00297807420258172001;Procedência;G1;Segunda;2025
00284893920258172001;Procedência;G1;Quarta;2025
00282555720258172001;Procedência;G1;Terça;2025
00277896320258172001;Procedência;G1;Segunda;2025
00271590720258172001;Procedência;G1;Sexta;2025
00264792220258172001;Procedência;G1;Quarta;2025
00263926620258172001;Procedência;G1;Quarta;2025
00259189520258172001;Procedência;G1;Terça;2025
00258253520258172001;Procedência;G1;Terça;2025
00045566820258173090;Procedência;G1;Segunda;2025
00252225920258172001;Procedência;G1;Segunda;2025
00000586020258176021;Procedência;G1;Terça;2025
00229551720258172001;Procedência;G1;Segunda;2025
00218292920258172001;Procedência;G1;Quarta;2025
00215720420258172001;Procedência;G1;Quarta;2025
00213824120258172001;Procedência;G1;Terça;2025
00010930420258174001;Procedência;G1;Sexta;2025
00000866820258172160;Procedência;G1;Quarta;2025
00192597020258172001;Procedência;G1;Quarta;2025
00000985720258173300;Procedência;G1;Terça;2025
00179259820258172001;Procedência;G1;Segunda;2025
00181996220258172001;Procedência;G1;Segunda;2025
00040600620258172810;Procedência;G1;Sexta;2025
00170226320258172001;Procedência;G1;Quinta;2025
00037682120258172810;Procedência;G1;Terça;2025
00162881520258172001;Procedência;G1;Terça;2025
00018916620258172480;Procedência;G1;Sexta;2025
00143759520258172001;Procedência;G1;Quinta;2025
00141333920258172001;Procedência;G1;Quarta;2025
00132482520258172001;Procedência;G1;Segunda;2025
00120106820258172001;Procedência;G1;Quinta;2025
00110605920258172001;Procedência;G1;Terça;2025
00003548120258173370;Procedência;G1;Terça;2025
00106509820258172001;Procedência;G1;Segunda;2025
00096359420258172001;Procedência;G1;Quinta;2025
00088581220258172001;Procedência;G1;Quarta;2025
00008263620258172480;Procedência;G1;Segunda;2025
00074525320258172001;Procedência;G1;;2025
00003223420258172220;Procedência;G1;;2025
00004010520258174001;Procedência;G1;;2025
00056147520258172001;Procedência;G1;Terça;2025
00054787820258172001;Procedência;G1;Terça;2025
00050491420258172001;Procedência;G1;Segunda;2025
00047382320258172001;Procedência;G1;;2025
00047296120258172001;Procedência;G1;;2025
00026198920258172001;Procedência;G1;Segunda;2025
00025228920258172001;Procedência;G1;Segunda;2025
00002002220258172640;Procedência;G1;;2025
00000881620258173590;Procedência;G1;Sexta;2025
00016256120258172001;Procedência;G1;Quinta;2025
00004563920258172001;Procedência;G1;Segunda;2025
00001957420258172001;Procedência;G1;Sexta;2025
01445337820248172001;Procedência;G1;Quinta;2024
00046581020248174001;Procedência;G1;Quinta;2024
00044251320248174001;Procedência;G1;Sexta;2024
00195416320248172480;Procedência;G1;Sexta;2024
01426604320248172001;Procedência;G1;Terça;2024
01414210420248172001;Procedência;G1;Sexta;2024
00019689420248172970;Procedência;G1;Quinta;2024
00060019120248173370;Procedência;G1;Terça;2024
00060096820248173370;Procedência;G1;Terça;2024
01394309020248172001;Procedência;G1;Segunda;2024
01388774320248172001;Procedência;G1;Sexta;2024
01384288520248172001;Procedência;G1;Quinta;2024
01383032020248172001;Procedência;G1;Quarta;2024
01378018120248172001;Procedência;G1;Terça;2024
01378866720248172001;Procedência;G1;Terça;2024
00302426320248172810;Procedência;G1;;2024
01367382120248172001;Procedência;G1;Sexta;2024
01362974020248172001;Procedência;G1;Quinta;2024
01355551520248172001;Procedência;G1;Quarta;2024
00203200820248173130;Procedência;G1;Segunda;2024
01334073120248172001;Procedência;G1;Quinta;2024
01333163820248172001;Procedência;G1;Quarta;2024
01330123920248172001;Procedência;G1;Terça;2024
00290379620248172810;Procedência;G1;Segunda;2024
01320761420248172001;Procedência;G1;Sexta;2024
01304721820248172001;Procedência;G1;Quarta;2024
00006944120248173570;Procedência;G1;Quarta;2024
01300192320248172001;Procedência;G1;Terça;2024
00285251620248172810;Procedência;G1;Segunda;2024
00195103320248173130;Procedência;G1;Sexta;2024
00008308820248173230;Procedência;G1;Quinta;2024
01266891820248172001;Procedência;G1;Quarta;2024
01257633720248172001;Procedência;G1;Segunda;2024
00036155220248172218;Procedência;G1;Sexta;2024
01247803820248172001;Procedência;G1;Quinta;2024
00052047320248172220;Procedência;G1;Quinta;2024
01244642520248172001;Procedência;G1;Quinta;2024
00064255520248173590;Procedência;G1;Quarta;2024
01237064620248172001;Procedência;G1;Terça;2024
00038466520248174001;Procedência;G1;Segunda;2024
01225372420248172001;Procedência;G1;Sexta;2024
01219483220248172001;Procedência;G1;Quinta;2024
01214243520248172001;Procedência;G1;Quarta;2024
01215724620248172001;Procedência;G1;Quarta;2024
01209108220248172001;Procedência;G1;Terça;2024
01159663720248172001;Procedência;G1;Quinta;2024
01149496320248172001;Procedência;G1;Terça;2024
01150466320248172001;Procedência;G1;Terça;2024
00048089620248172220;Procedência;G1;Terça;2024
01136375220248172001;Procedência;G1;Quinta;2024
01138558020248172001;Procedência;G1;Quinta;2024
01122543920248172001;Procedência;G1;Segunda;2024
00082853120248172640;Procedência;G1;Segunda;2024
01121219420248172001;Procedência;G1;Segunda;2024
01114039720248172001;Procedência;G1;Sexta;2024
01113225120248172001;Procedência;G1;Quinta;2024
00152268920248172480;Procedência;G1;Terça;2024
01094812120248172001;Procedência;G1;Segunda;2024
00034794120248174001;Procedência;G1;;2024
00039492920248173110;Procedência;G1;Quarta;2024
01084272020248172001;Procedência;G1;Quarta;2024
01069531420248172001;Procedência;G1;;2024
01060030520248172001;Procedência;G1;Quinta;2024
01048901620248172001;Procedência;G1;Terça;2024
01043644920248172001;Procedência;G1;Terça;2024
01038543620248172001;Procedência;G1;Segunda;2024
00006905620248173100;Procedência;G1;Segunda;2024
00975372220248172001;Procedência;G1;Quarta;2024
00955842320248172001;Procedência;G1;Segunda;2024
00951061520248172001;Procedência;G1;Segunda;2024
00953946020248172001;Procedência;G1;Segunda;2024
00948021620248172001;Procedência;G1;Sexta;2024
00037016320248173110;Procedência;G1;Quinta;2024
00940573620248172001;Procedência;G1;Quinta;2024
00933722920248172001;Procedência;G1;Quarta;2024
00151228720248173130;Procedência;G1;Terça;2024
00922862320248172001;Procedência;G1;Terça;2024
00041206320248172470;Procedência;G1;Segunda;2024
00872769520248172001;Procedência;G1;Sexta;2024
00859422620248172001;Procedência;G1;Quarta;2024
00212761420248172810;Procedência;G1;Terça;2024
00155726220248172990;Procedência;G1;Sexta;2024
00039119420248172470;Procedência;G1;Quinta;2024
00815833320248172001;Procedência;G1;Terça;2024
00042607920248172670;Procedência;G1;Segunda;2024
00802270320248172001;Procedência;G1;;2024
00788578620248172001;Procedência;G1;Quinta;2024
00060988420248172370;Procedência;G1;Quinta;2024
00170592520248172810;Procedência;G1;Terça;2024
00004736520248173600;Procedência;G1;Terça;2024
00036122020248172470;Procedência;G1;Terça;2024
00733712320248172001;Procedência;G1;Segunda;2024
00025227020248172730;Procedência;G1;Sexta;2024
00724965320248172001;Procedência;G1;Quinta;2024
00004643420248172750;Procedência;G1;Quarta;2024
00682233120248172001;Procedência;G1;Terça;2024
00139479020248172990;Procedência;G1;Segunda;2024
00024773620248174001;Procedência;G1;Quinta;2024
00000338120248176021;Procedência;G1;Sexta;2024
00651331520248172001;Procedência;G1;Quarta;2024
00643173320248172001;Procedência;G1;Segunda;2024
00644126320248172001;Procedência;G1;Segunda;2024
00634686120248172001;Procedência;G1;Sexta;2024
00634434820248172001;Procedência;G1;Quinta;2024
00625202220248172001;Procedência;G1;Quarta;2024
00149183320248172810;Procedência;G1;Quarta;2024
00614125520248172001;Procedência;G1;Segunda;2024
00029583320248172470;Procedência;G1;Segunda;2024
00613216220248172001;Procedência;G1;Segunda;2024
00612436820248172001;Procedência;G1;Segunda;2024
00602338620248172001;Procedência;G1;Quinta;2024
00601073620248172001;Procedência;G1;Quinta;2024
00140029620248172810;Procedência;G1;Quinta;2024
00571895920248172001;Procedência;G1;Quarta;2024
00571263420248172001;Procedência;G1;Terça;2024
00004291120248173450;Procedência;G1;Segunda;2024
00008021420248173330;Procedência;G1;Segunda;2024
00560333620248172001;Procedência;G1;Segunda;2024
00008248520248172970;Procedência;G1;Quinta;2024
00010374820248173340;Procedência;G1;Sexta;2024
00531692520248172001;Procedência;G1;Sexta;2024
00530246620248172001;Procedência;G1;Sexta;2024
00521646520248172001;Procedência;G1;Quarta;2024
00514423120248172001;Procedência;G1;Terça;2024
00512656720248172001;Procedência;G1;Segunda;2024
00088846220248172480;Procedência;G1;Segunda;2024
00507936620248172001;Procedência;G1;;2024
00505667620248172001;Procedência;G1;Sexta;2024
00500773920248172001;Procedência;G1;Quinta;2024
00002662320248173000;Procedência;G1;Terça;2024
00489791920248172001;Procedência;G1;Terça;2024
00484145520248172001;Procedência;G1;Segunda;2024
00485323120248172001;Procedência;G1;Segunda;2024
00111527520248172420;Procedência;G1;;2024
00479113420248172001;Procedência;G1;Sexta;2024
00478723720248172001;Procedência;G1;Sexta;2024
00010217820248173410;Procedência;G1;Quinta;2024
00475891420248172001;Procedência;G1;Quinta;2024
00460649420248172001;Procedência;G1;Segunda;2024
00461376620248172001;Procedência;G1;Segunda;2024
00002210920248172680;Procedência;G1;Quinta;2024
00448670720248172001;Procedência;G1;Quinta;2024
00078522220248172480;Procedência;G1;Terça;2024
00432398020248172001;Procedência;G1;Segunda;2024
00038874120248172640;Procedência;G1;;2024
00009091220248173410;Procedência;G1;;2024
00425876320248172001;Procedência;G1;Sexta;2024
00001889020248173400;Procedência;G1;Quinta;2024
00400976820248172001;Procedência;G1;;2024
00006423120248174480;Procedência;G1;;2024
00102372020248172810;Procedência;G1;Sexta;2024
00092814620248172990;Procedência;G1;Sexta;2024
00101385020248172810;Procedência;G1;Quinta;2024
00012009520248173350;Procedência;G1;Quinta;2024
00386695120248172001;Procedência;G1;Quarta;2024
00002393120248173100;Procedência;G1;Sexta;2024
00004981520248173330;Procedência;G1;Sexta;2024
00360479620248172001;Procedência;G1;Quarta;2024
00002334820248172510;Procedência;G1;Quarta;2024
00066146520248172480;Procedência;G1;Terça;2024
00349116420248172001;Procedência;G1;Terça;2024
00339416420248172001;Procedência;G1;Quinta;2024
00295896320248172001;Procedência;G1;Sexta;2024
00016103620248172710;Procedência;G1;Sexta;2024
00270571920248172001;Procedência;G1;Terça;2024
00269559420248172001;Procedência;G1;Segunda;2024
00263297520248172001;Procedência;G1;;2024
00014484120248172710;Procedência;G1;Quinta;2024
00250652320248172001;Procedência;G1;Quinta;2024
00244235020248172001;Procedência;G1;Quarta;2024
00244624720248172001;Procedência;G1;Quarta;2024
00000998820248172520;Procedência;G1;Sexta;2024
00013943920248173110;Procedência;G1;Terça;2024
00221579020248172001;Procedência;G1;Segunda;2024
00064005420248172810;Procedência;G1;Sexta;2024
00207358020248172001;Procedência;G1;Quinta;2024
00196782720248172001;Procedência;G1;Terça;2024
00037524620248172990;Procedência;G1;Segunda;2024
00187888820248172001;Procedência;G1;Segunda;2024
00058947820248172810;Procedência;G1;;2024
00182042120248172001;Procedência;G1;Sexta;2024
00179574020248172001;Procedência;G1;Quinta;2024
00003111020248172650;Procedência;G1;Terça;2024
00006923920248174001;Procedência;G1;;2024
00052859520248172810;Procedência;G1;Sexta;2024
00148464820248172001;Procedência;G1;Quinta;2024
00005260720248174001;Procedência;G1;Segunda;2024
00005061620248174001;Procedência;G1;;2024
00003840320248174001;Procedência;G1;Quinta;2024
00144247320248172001;Procedência;G1;Quinta;2024
00142263620248172001;Procedência;G1;Quinta;2024
00141293620248172001;Procedência;G1;Quinta;2024
00122161920248172001;Procedência;G1;Segunda;2024
00110980820248172001;Procedência;G1;Quinta;2024
00106408820248172001;Procedência;G1;Quarta;2024
00091425420248172001;Procedência;G1;Segunda;2024
