numero_processo;tipo_decisao;grau;dia_semana;ano
08256356620258180140;Procedência;G1;Quarta;2025
08254408120258180140;Procedência;G1;Terça;2025
08002309220258180054;Procedência;G1;Terça;2025
08004953020258180140;Procedência;G1;Terça;2025
08037696620248180033;Procedência;G1;Quinta;2024
08090795920248180031;Procedência;G1;Segunda;2024
08069162420248180026;Procedência;G1;Quinta;2024
08068106220248180026;Procedência;G1;Sexta;2024
08032865120248180028;Procedência;G1;Terça;2024
08463064720248180140;Procedência;G1;Quinta;2024
08074167220248180032;Procedência;G1;Quinta;2024
08355533120248180140;Procedência;G1;Segunda;2024
08339502020248180140;Procedência;G1;Sexta;2024
08305076120248180140;Procedência;G1;Segunda;2024
08274754820248180140;Procedência;G1;Quinta;2024
08047073120248180140;Procedência;G1;Quinta;2024
08628938120238180140;Procedência;G1;Sexta;2023
08623377920238180140;Procedência;G1;Terça;2023
08070083620238180026;Procedência;G1;Terça;2023
08607303120238180140;Procedência;G1;Quinta;2023
08062382520238180032;Procedência;G1;Quinta;2023
08522601120238180140;Procedência;G1;Segunda;2023
08509429020238180140;Procedência;G1;Sexta;2023
08027278620238180042;Procedência;G1;Quarta;2023
08024360420238180037;Procedência;G1;Quarta;2023
08058502820238180031;Procedência;G1;Terça;2023
08467407020238180140;Procedência;G1;Terça;2023
08007987320238180056;Procedência;G1;Segunda;2023
08436878120238180140;Procedência;G1;Quarta;2023
08417157620238180140;Procedência;G1;Sexta;2023
08383718720238180140;Procedência;G1;Segunda;2023
08005772920238180044;Procedência;G1;Quarta;2023
08024475120238180031;Procedência;G1;Segunda;2023
08010476620238180042;Procedência;G1;Terça;2023
08002513920238180054;Procedência;G1;Segunda;2023
08005323120238180042;Procedência;G1;Quarta;2023
08074946720238180140;Procedência;G1;Sexta;2023
08068381320238180140;Procedência;G1;;2023
08004344620238180042;Procedência;G1;Sexta;2023
08033660420238180140;Procedência;G1;Sexta;2023
08010397820228180057;Procedência;G1;Segunda;2022
08017303220228180077;Procedência;G1;Terça;2022
08466595820228180140;Procedência;G1;Sexta;2022
08016988120228180059;Procedência;G1;Terça;2022
08271106220228180140;Procedência;G1;Sexta;2022
08005487120228180057;Procedência;G1;Segunda;2022
08009195920228180049;Procedência;G1;Terça;2022
08164666020228180140;Procedência;G1;;2022
08007191820228180028;Procedência;G1;Terça;2022
08086121520228180140;Procedência;G1;Quinta;2022
08068315520228180140;Procedência;G1;Quarta;2022
08025073520218180050;Procedência;G1;Segunda;2021
08007305020218180103;Procedência;G1;Terça;2021
08356096920218180140;Procedência;G1;Quinta;2021
08312853620218180140;Procedência;G1;;2021
08281268520218180140;Procedência;G1;Quinta;2021
08013435020218180045;Procedência;G1;Quarta;2021
08025537620218180065;Procedência;G1;Quarta;2021
08230438820218180140;Procedência;G1;Quinta;2021
08208916720218180140;Procedência;G1;Quarta;2021
08013793720218180031;Procedência;G1;Segunda;2021
08005766320218180028;Procedência;G1;Segunda;2021
08006978220218180031;Procedência;G1;Terça;2021
08000353720218180058;Procedência;G1;Segunda;2021
08006129320218180032;Procedência;G1;Sexta;2021
08001002520218180028;Procedência;G1;Terça;2021
08027272420208180032;Procedência;G1;Quinta;2020
08264417720208180140;Procedência;G1;;2020
08008269220208180073;Procedência;G1;Terça;2020
08248395120208180140;Procedência;G1;Quarta;2020
08213259020208180140;Procedência;G1;Quinta;2020
08210330820208180140;Procedência;G1;Terça;2020
08206745820208180140;Procedência;G1;Sexta;2020
08003938420208180042;Procedência;G1;Segunda;2020
08187345820208180140;Procedência;G1;Sexta;2020
08169573820208180140;Procedência;G1;Quarta;2020
08166533920208180140;Procedência;G1;Sexta;2020
08005513120208180078;Procedência;G1;Quinta;2020
08132809720208180140;Procedência;G1;;2020
08124260620208180140;Procedência;G1;Segunda;2020
08010642320198180049;Procedência;G1;Terça;2019
08015492920188180026;Procedência;G1;Quarta;2018
08210063020178180140;Procedência;G1;Sexta;2017
00289427620168180140;Procedência;G1;Quinta;2016
00021538520168180028;Procedência;G1;Quarta;2016
00009852920158180078;Procedência;G1;Segunda;2015
00024311420158180031;Procedência;G1;Quarta;2015
00142882120158180140;Procedência;G1;Segunda;2015
00010164020148180060;Procedência;G1;Quinta;2014
00024918220148180140;Procedência;G1;Quarta;2014
00001307120138180029;Procedência;G1;Quinta;2013
00000825620118180038;Procedência;G1;Quinta;2011
08004199520248180057;Improcedência;G1;Segunda;2024
08126405520248180140;Improcedência;G1;Quarta;2024
08000229320248180135;Improcedência;G1;Segunda;2024
08407786620238180140;Improcedência;G1;Segunda;2023
08404321820238180140;Improcedência;G1;Sexta;2023
08000966120238180078;Improcedência;G1;Quinta;2023
08013444320228180031;Improcedência;G1;Segunda;2022
08385620620218180140;Improcedência;G1;Sexta;2021
08009421520218180057;Improcedência;G1;Segunda;2021
08019220220218180076;Improcedência;G1;Terça;2021
08015637520218180036;Improcedência;G1;Segunda;2021
08126630620218180140;Improcedência;G1;Terça;2021
08089116020208180140;Improcedência;G1;Sexta;2020
