numero_processo;tipo_decisao;grau;dia_semana;ano
00042722320258160072;Procedência;G1;Quarta;2025
00659614820258160014;Procedência;G1;Terça;2025
00023132020258160071;Procedência;G1;Terça;2025
00033911020258160084;Procedência;G1;Segunda;2025
00029754720258160050;Procedência;G1;Segunda;2025
00137931420258160194;Procedência;G1;Terça;2025
00016999720258160076;Procedência;G1;Quinta;2025
00534172820258160014;Procedência;G1;Quarta;2025
00505280420258160014;Procedência;G1;Sexta;2025
00013627520258160087;Procedência;G1;Sexta;2025
00021833720258160101;Procedência;G1;Segunda;2025
00190502720258160030;Procedência;G1;Segunda;2025
00416335420258160014;Procedência;G1;Sexta;2025
00394293720258160014;Procedência;G1;Sexta;2025
00117041020258160035;Procedência;G1;Quinta;2025
00370407920258160014;Procedência;G1;Quarta;2025
00016952120258160089;Procedência;G1;Terça;2025
00056287320258160033;Procedência;G1;Segunda;2025
00006673920258160082;Procedência;G1;Quarta;2025
00021927120258160077;Procedência;G1;Sexta;2025
00328714920258160014;Procedência;G1;Quinta;2025
00076354020258160194;Procedência;G1;Sexta;2025
00005930920258160171;Procedência;G1;Terça;2025
00029487220258160112;Procedência;G1;Segunda;2025
00033982320258160174;Procedência;G1;Sexta;2025
00296176820258160014;Procedência;G1;Quarta;2025
00053348620258160173;Procedência;G1;Segunda;2025
00029656820258160190;Procedência;G1;Sexta;2025
00102894620258160017;Procedência;G1;Quinta;2025
00061587920258160194;Procedência;G1;Terça;2025
00045337320258160173;Procedência;G1;Quarta;2025
00023692720258160112;Procedência;G1;Quarta;2025
00109611520258160030;Procedência;G1;Terça;2025
00036590820258160038;Procedência;G1;Terça;2025
00208859820258160014;Procedência;G1;Segunda;2025
00039075420258160173;Procedência;G1;Sexta;2025
00004400620258160161;Procedência;G1;Sexta;2025
00012013520258160097;Procedência;G1;Sexta;2025
00008933820258160084;Procedência;G1;Segunda;2025
00006518720258160049;Procedência;G1;Quinta;2025
00003553520258160156;Procedência;G1;Quinta;2025
00009200820258160153;Procedência;G1;Terça;2025
00010105620258160075;Procedência;G1;Quarta;2025
00002103120258160171;Procedência;G1;Terça;2025
00014309020258160033;Procedência;G1;Sexta;2025
00005908220258160097;Procedência;G1;Terça;2025
00006529820258160105;Procedência;G1;Segunda;2025
00002620520258160049;Procedência;G1;;2025
00013945020258160194;Procedência;G1;Sexta;2025
00008202720258160194;Procedência;G1;Quinta;2025
00007406320258160194;Procedência;G1;Quarta;2025
00007680620258160170;Procedência;G1;Quarta;2025
00004452420258160033;Procedência;G1;;2025
00001012920258160167;Procedência;G1;Quinta;2025
00001515120258160136;Procedência;G1;Terça;2025
00001992020258160165;Procedência;G1;Segunda;2025
00009567920258160014;Procedência;G1;Quinta;2025
00000328120258160042;Procedência;G1;Terça;2025
00220471020248160194;Procedência;G1;Terça;2024
00330336920248160017;Procedência;G1;Quarta;2024
00069350420248160193;Procedência;G1;Terça;2024
00035943220248160140;Procedência;G1;Terça;2024
00379901020248160019;Procedência;G1;Quinta;2024
00139744420248160131;Procedência;G1;Quarta;2024
00119619720248160058;Procedência;G1;Terça;2024
00235939220248160035;Procedência;G1;Sexta;2024
00040468420248160126;Procedência;G1;Quinta;2024
00020402920248160054;Procedência;G1;Segunda;2024
00155539520248160173;Procedência;G1;Segunda;2024
00053188220248160104;Procedência;G1;Segunda;2024
00156778720248160170;Procedência;G1;Sexta;2024
00057942620248160103;Procedência;G1;Segunda;2024
00198256920248160194;Procedência;G1;Quinta;2024
00040177420248160048;Procedência;G1;Quarta;2024
00399895220248160001;Procedência;G1;Segunda;2024
00123236620248160069;Procedência;G1;Segunda;2024
00029259820248160068;Procedência;G1;Sexta;2024
00037583920248160126;Procedência;G1;Quinta;2024
00214373420248160035;Procedência;G1;Quarta;2024
00126686420248160026;Procedência;G1;Segunda;2024
00140824420248160173;Procedência;G1;Quarta;2024
00072437820248160148;Procedência;G1;Quinta;2024
00691012720248160014;Procedência;G1;Quinta;2024
00259414020248160017;Procedência;G1;Terça;2024
00684699820248160014;Procedência;G1;Terça;2024
00173902520248160194;Procedência;G1;Segunda;2024
00014170720248160040;Procedência;G1;Sexta;2024
00678134420248160014;Procedência;G1;Sexta;2024
00046458620248160105;Procedência;G1;Quinta;2024
00192739620248160035;Procedência;G1;Quarta;2024
00080558020248160129;Procedência;G1;Quarta;2024
00093824720248160004;Procedência;G1;Quinta;2024
00018281820248160180;Procedência;G1;Quinta;2024
00029018820248160159;Procedência;G1;Quinta;2024
00028776020248160159;Procedência;G1;Terça;2024
00122844820248160173;Procedência;G1;Terça;2024
00026472620248160124;Procedência;G1;Terça;2024
00159032020248160194;Procedência;G1;Quinta;2024
00020833720248160095;Procedência;G1;Quarta;2024
00153731620248160194;Procedência;G1;Quarta;2024
00288086420248160030;Procedência;G1;Terça;2024
00094993720248160069;Procedência;G1;Quinta;2024
00045055820248160103;Procedência;G1;Quinta;2024
00149185120248160194;Procedência;G1;Quarta;2024
00014668520248160060;Procedência;G1;Segunda;2024
00555654620248160014;Procedência;G1;Terça;2024
00075240620248160028;Procedência;G1;Segunda;2024
00139952520248160194;Procedência;G1;Quarta;2024
00023325120248160074;Procedência;G1;Quarta;2024
00108614920248160045;Procedência;G1;Terça;2024
00018483820248160041;Procedência;G1;Terça;2024
00011928320248160202;Procedência;G1;Sexta;2024
00021917620248160124;Procedência;G1;Terça;2024
00083657220248160069;Procedência;G1;Sexta;2024
00012212120248160110;Procedência;G1;Terça;2024
00142714820248160035;Procedência;G1;Terça;2024
00253745720248160001;Procedência;G1;Sexta;2024
00185235120248160017;Procedência;G1;Segunda;2024
00137033220248160035;Procedência;G1;Segunda;2024
00236399620248160030;Procedência;G1;Quinta;2024
00037832420248160103;Procedência;G1;Quinta;2024
00016492320248160071;Procedência;G1;Quinta;2024
00016157520248160062;Procedência;G1;Terça;2024
00034143420248160037;Procedência;G1;Terça;2024
00017883320248160181;Procedência;G1;Sexta;2024
00086313820248160173;Procedência;G1;Sexta;2024
00108202320248160194;Procedência;G1;;2024
00428463220248160014;Procedência;G1;Quinta;2024
00030943520248160117;Procedência;G1;Quinta;2024
00014364720248160061;Procedência;G1;Terça;2024
00099463820248160194;Procedência;G1;Segunda;2024
00019410720248160136;Procedência;G1;Sexta;2024
00097471620248160194;Procedência;G1;Quinta;2024
00191908520248160001;Procedência;G1;Quarta;2024
00017964620248160072;Procedência;G1;Terça;2024
00014899120248160137;Procedência;G1;Sexta;2024
00221582820248160021;Procedência;G1;Sexta;2024
