numero_processo;tipo_decisao;grau;dia_semana;ano
08138356320238190211;Procedência;G1;Quinta;2025
09769772920258190001;Procedência;G1;Quinta;2025
08056634420238190014;Procedência;G1;Terça;2025
08100080720248190212;Procedência;G1;Terça;2025
09360358620248190001;Procedência;G1;Segunda;2025
08010994020238190202;Procedência;G1;Sexta;2025
08054398920228190031;Procedência;G1;Quinta;2025
08124521520238190061;Procedência;G1;Quinta;2025
08336494620228190001;Procedência;G1;Quarta;2025
08010795220248190028;Procedência;G1;Segunda;2025
08297492220248190054;Procedência;G1;Segunda;2025
08309293520248190002;Procedência;G1;Sexta;2025
08110731620238190004;Procedência;G1;Sexta;2025
09490083920258190001;Procedência;G1;Quinta;2025
09454765720258190001;Procedência;G1;Segunda;2025
08003362720258190054;Procedência;G1;Segunda;2025
08252850820248190004;Procedência;G1;Segunda;2025
08088500320248190054;Procedência;G1;Terça;2025
09383043520238190001;Procedência;G1;Terça;2025
09259657320258190001;Procedência;G1;Quinta;2025
09333711920238190001;Procedência;G1;Terça;2025
08075909520258190007;Procedência;G1;Quinta;2025
09143185220238190001;Procedência;G1;Terça;2025
08237692720228190002;Procedência;G1;Sexta;2025
09059456120258190001;Procedência;G1;Segunda;2025
09048578520258190001;Procedência;G1;Sexta;2025
08014989620258190041;Procedência;G1;Terça;2025
09012454220258190001;Procedência;G1;Terça;2025
08004090520258190052;Procedência;G1;Segunda;2025
00709583220258190001;Procedência;G1;Segunda;2025
08978495720258190001;Procedência;G1;Quinta;2025
08028676720248190007;Procedência;G1;Quinta;2025
08241679420248190004;Procedência;G1;Quarta;2025
08100310420248190001;Procedência;G1;Quarta;2025
08922374120258190001;Procedência;G1;Quinta;2025
08007033320238190212;Procedência;G1;Quarta;2025
08143398320248190001;Procedência;G1;Terça;2025
08400734020238190205;Procedência;G1;Sexta;2025
08093451120258190087;Procedência;G1;Quarta;2025
08161755920228190002;Procedência;G1;Quarta;2025
08010917520238190004;Procedência;G1;Terça;2025
08841682020258190001;Procedência;G1;Terça;2025
08012558120238190055;Procedência;G1;Terça;2025
08820827620258190001;Procedência;G1;Sexta;2025
08814980920258190001;Procedência;G1;Quarta;2025
08104073220258190008;Procedência;G1;Terça;2025
08169410520248190209;Procedência;G1;Terça;2025
08261034220248190203;Procedência;G1;Segunda;2025
08729526220258190001;Procedência;G1;Segunda;2025
08069891420238190087;Procedência;G1;Quinta;2025
08043495320228190061;Procedência;G1;Quarta;2025
08233969320228190002;Procedência;G1;Quarta;2025
08048568120258190037;Procedência;G1;Sexta;2025
08028836920228190046;Procedência;G1;Quinta;2025
08386737620238190209;Procedência;G1;Terça;2025
08629893020258190001;Procedência;G1;Segunda;2025
08607297720258190001;Procedência;G1;Quarta;2025
08595544820258190001;Procedência;G1;Segunda;2025
08571554620258190001;Procedência;G1;Terça;2025
08562929020258190001;Procedência;G1;Segunda;2025
08109188520248190001;Procedência;G1;Sexta;2025
