numero_processo;tipo_decisao;grau;dia_semana;ano
08738577520258205001;Procedência;G1;Sexta;2025
08714968520258205001;Procedência;G1;Segunda;2025
08603678320258205001;Procedência;G1;Quinta;2025
08566575520258205001;Procedência;G1;Terça;2025
08507189420258205001;Procedência;G1;Quinta;2025
08349217820258205001;Procedência;G1;Terça;2025
08341690920258205001;Procedência;G1;Sexta;2025
08338409420258205001;Procedência;G1;Sexta;2025
08322439020258205001;Procedência;G1;Terça;2025
08021103520258205108;Procedência;G1;Segunda;2025
08025520720258205300;Procedência;G1;Quinta;2025
08219531620258205001;Procedência;G1;Segunda;2025
08021935720258205300;Procedência;G1;;2025
08200617220258205001;Procedência;G1;Terça;2025
08168659420258205001;Procedência;G1;Quinta;2025
08164779420258205001;Procedência;G1;Quarta;2025
08161159220258205001;Procedência;G1;Terça;2025
08004594720258205114;Procedência;G1;;2025
08115456320258205001;Procedência;G1;Terça;2025
08090651520258205001;Procedência;G1;;2025
08070957720258205001;Procedência;G1;Sexta;2025
08068913320258205001;Procedência;G1;Quinta;2025
08011864520258205004;Procedência;G1;;2025
08001593420258205131;Procedência;G1;Quinta;2025
08014132020258205106;Procedência;G1;Quarta;2025
08005421420258205001;Procedência;G1;Quarta;2025
08004997720258205001;Procedência;G1;Terça;2025
08003083220258205001;Procedência;G1;Segunda;2025
08000985420258205300;Procedência;G1;Quinta;2025
08852988720248205001;Procedência;G1;Terça;2024
08843435620248205001;Procedência;G1;Sexta;2024
08209801720248205124;Procedência;G1;Quinta;2024
08821064920248205001;Procedência;G1;Quarta;2024
08808723220248205001;Procedência;G1;Sexta;2024
08806506420248205001;Procedência;G1;Quinta;2024
08791237720248205001;Procedência;G1;Sexta;2024
08266040420248205106;Procedência;G1;Quinta;2024
08065390320248205101;Procedência;G1;;2024
08771525720248205001;Procedência;G1;Terça;2024
08759313920248205001;Procedência;G1;Quinta;2024
08715439320248205001;Procedência;G1;Segunda;2024
08710597820248205001;Procedência;G1;Sexta;2024
08039918120248205108;Procedência;G1;Quinta;2024
08706492020248205001;Procedência;G1;Quarta;2024
08170785620248205124;Procedência;G1;Segunda;2024
08697615120248205001;Procedência;G1;Segunda;2024
08234905720248205106;Procedência;G1;Quarta;2024
08655697520248205001;Procedência;G1;Quinta;2024
08639874020248205001;Procedência;G1;Quinta;2024
08033834420248205121;Procedência;G1;Sexta;2024
08622353320248205001;Procedência;G1;Quinta;2024
08010851320248205143;Procedência;G1;Sexta;2024
08598675120248205001;Procedência;G1;Quarta;2024
08597696620248205001;Procedência;G1;Quarta;2024
08594361720248205001;Procedência;G1;Terça;2024
08592768920248205001;Procedência;G1;Segunda;2024
08583276520248205001;Procedência;G1;Quinta;2024
08580999020248205001;Procedência;G1;Quarta;2024
08201050420248205106;Procedência;G1;Quarta;2024
08577421320248205001;Procedência;G1;Terça;2024
08199734420248205106;Procedência;G1;Terça;2024
08574875520248205001;Procedência;G1;Terça;2024
08561433920248205001;Procedência;G1;Quarta;2024
08557380320248205001;Procedência;G1;Terça;2024
08009162620248205143;Procedência;G1;Sexta;2024
08533970420248205001;Procedência;G1;Sexta;2024
08529623020248205001;Procedência;G1;Quarta;2024
08525319320248205001;Procedência;G1;Terça;2024
08524712320248205001;Procedência;G1;Terça;2024
08524028820248205001;Procedência;G1;Terça;2024
08498643720248205001;Procedência;G1;Sexta;2024
08496833620248205001;Procedência;G1;Quinta;2024
08480006120248205001;Procedência;G1;Sexta;2024
08470591420248205001;Procedência;G1;Terça;2024
08463480920248205001;Procedência;G1;Quinta;2024
08460120520248205001;Procedência;G1;Quarta;2024
08441007020248205001;Procedência;G1;Quinta;2024
08425053620248205001;Procedência;G1;Quinta;2024
08413396620248205001;Procedência;G1;Segunda;2024
08398318520248205001;Procedência;G1;Segunda;2024
08379585020248205001;Procedência;G1;Segunda;2024
08007283020248205144;Procedência;G1;Quinta;2024
08129184220248205106;Procedência;G1;Quarta;2024
08086421120248205124;Procedência;G1;Terça;2024
08349774820248205001;Procedência;G1;Segunda;2024
08011226020248205104;Procedência;G1;;2024
08080939820248205124;Procedência;G1;Quinta;2024
08335562320248205001;Procedência;G1;Terça;2024
08329534720248205001;Procedência;G1;Sexta;2024
08003821820248205132;Procedência;G1;Quinta;2024
08284083120248205001;Procedência;G1;;2024
08004961820248205144;Procedência;G1;Sexta;2024
08244486720248205001;Procedência;G1;Sexta;2024
08217188320248205001;Procedência;G1;Terça;2024
08042278220248205124;Procedência;G1;;2024
08127064520248205001;Procedência;G1;Segunda;2024
08036072720248205106;Procedência;G1;Segunda;2024
08005666120248205103;Procedência;G1;Quarta;2024
08078227020248205001;Procedência;G1;Sexta;2024
08077083420248205001;Procedência;G1;Quinta;2024
08051023320248205001;Procedência;G1;Segunda;2024
08049074820248205001;Procedência;G1;Segunda;2024
08001838320248205103;Procedência;G1;Quinta;2024
08729671020238205001;Procedência;G1;Quarta;2023
08199013720238205124;Procedência;G1;Quinta;2023
08701879720238205001;Procedência;G1;Sexta;2023
08697080720238205001;Procedência;G1;Quinta;2023
08265662620238205106;Procedência;G1;Quarta;2023
08693504220238205001;Procedência;G1;Quarta;2023
08067853020238205102;Procedência;G1;Terça;2023
08053497620238205121;Procedência;G1;Segunda;2023
08066518820238205300;Procedência;G1;Quinta;2023
08673888120238205001;Procedência;G1;Quarta;2023
08666214320238205001;Procedência;G1;Sexta;2023
08064968520238205300;Procedência;G1;Terça;2023
08642934320238205001;Procedência;G1;Quarta;2023
08641505420238205001;Procedência;G1;Terça;2023
08242512520238205106;Procedência;G1;Segunda;2023
08241680920238205106;Procedência;G1;Quarta;2023
08630990820238205001;Procedência;G1;Terça;2023
08043982420238205108;Procedência;G1;Terça;2023
08595837720238205001;Procedência;G1;Terça;2023
08166501120238205124;Procedência;G1;Quarta;2023
08056948720238205300;Procedência;G1;;2023
08563350620238205001;Procedência;G1;Sexta;2023
08554266120238205001;Procedência;G1;Terça;2023
08208857520238205106;Procedência;G1;Terça;2023
08550256220238205001;Procedência;G1;Segunda;2023
08012029020238205158;Procedência;G1;Segunda;2023
08545553120238205001;Procedência;G1;Quinta;2023
08533843920238205001;Procedência;G1;Segunda;2023
08531080820238205001;Procedência;G1;Sexta;2023
08525608020238205001;Procedência;G1;Quinta;2023
08516193320238205001;Procedência;G1;Segunda;2023
08475384120238205001;Procedência;G1;Terça;2023
08466498720238205001;Procedência;G1;Quinta;2023
08166133820238205106;Procedência;G1;Quarta;2023
08123778620238205124;Procedência;G1;Quinta;2023
08382073520238205001;Procedência;G1;Sexta;2023
