numero_processo;tipo_decisao;grau;dia_semana;ano
70049418420258220008;Procedência;G1;Segunda;2025
70479761820258220001;Procedência;G1;Segunda;2025
70454160620258220001;Procedência;G1;Quarta;2025
70031158120258220021;Procedência;G1;Segunda;2025
70095224820258220007;Procedência;G1;Segunda;2025
70094895820258220007;Procedência;G1;Segunda;2025
70060554020258220014;Procedência;G1;Terça;2025
70067927920258220002;Procedência;G1;Quarta;2025
70010866720258220018;Procedência;G1;Quinta;2025
70208551520258220001;Procedência;G1;Quarta;2025
70021523020258220003;Procedência;G1;Sexta;2025
70123157520258220001;Procedência;G1;Segunda;2025
70093018320258220001;Procedência;G1;Sexta;2025
70003803820258220001;Procedência;G1;Segunda;2025
70065061720248220009;Procedência;G1;;2024
70192540520248220002;Procedência;G1;Quarta;2024
70574132020248220001;Procedência;G1;Terça;2024
70019436820248220012;Procedência;G1;Quinta;2024
70419564520248220001;Procedência;G1;Segunda;2024
70099567720248220005;Procedência;G1;Quinta;2024
70095851020248220007;Procedência;G1;Quinta;2024
70092422920248220002;Procedência;G1;Quinta;2024
70009028420248220006;Procedência;G1;Quinta;2024
70053994120248220007;Procedência;G1;Terça;2024
70018753020248220009;Procedência;G1;Sexta;2024
70014344920248220009;Procedência;G1;Terça;2024
70109805520248220001;Procedência;G1;Segunda;2024
70108039120248220001;Procedência;G1;Segunda;2024
70082264320248220001;Procedência;G1;Terça;2024
70007182220248220009;Procedência;G1;Terça;2024
70161529120238220007;Procedência;G1;Terça;2023
70121992820238220005;Procedência;G1;Segunda;2023
70101291120238220014;Procedência;G1;Quarta;2023
70020790220238220012;Procedência;G1;Quarta;2023
70069612820238220005;Procedência;G1;Terça;2023
70023031620238220019;Procedência;G1;Sexta;2023
70057789220238220014;Procedência;G1;Quinta;2023
70078620520238220002;Procedência;G1;Terça;2023
70281325320238220001;Procedência;G1;Sexta;2023
70147111820228220005;Procedência;G1;Sexta;2022
70020048820228220014;Procedência;G1;Terça;2022
00121181320148220007;Procedência;G1;Quinta;2014
00009322420138220008;Procedência;G1;Quarta;2013
00080628820108220002;Procedência;G1;Quinta;2010
00811832320088220002;Procedência;G1;Quinta;2008
70055518020248220010;Procedência;G1;Terça;2024
70080972620248220005;Procedência;G1;Quinta;2024
70322841320248220001;Procedência;G1;Quarta;2024
70258596720248220001;Procedência;G1;Sexta;2024
70126254020238220005;Procedência;G1;Sexta;2023
70107232520238220014;Procedência;G1;Quinta;2023
70051149420238220003;Procedência;G1;Quarta;2023
70078920420238220014;Procedência;G1;Terça;2023
70072616020238220014;Procedência;G1;Segunda;2023
70069731520238220014;Procedência;G1;Segunda;2023
70034814820238220003;Procedência;G1;Segunda;2023
70028544420238220003;Procedência;G1;Sexta;2023
70063108720238220007;Procedência;G1;;2023
70055938120238220005;Procedência;G1;Terça;2023
70052351320238220007;Procedência;G1;Quinta;2023
70109038020238220001;Procedência;G1;Segunda;2023
70892601120228220001;Procedência;G1;Terça;2022
70017648920198220019;Procedência;G1;Segunda;2019
70066378520168220004;Procedência;G1;Segunda;2016
00168482220138220001;Procedência;G1;Sexta;2013
01755849020038220001;Procedência;G1;Terça;2003
70034595920258220022;Improcedência;G1;Sexta;2025
70021772820258220008;Improcedência;G1;Quarta;2025
70016134920258220008;Improcedência;G1;Quarta;2025
70209971920258220001;Improcedência;G1;Quarta;2025
70057922920258220007;Improcedência;G1;Sexta;2025
70004191420258220008;Improcedência;G1;Sexta;2025
70036272520248220013;Improcedência;G1;Quinta;2024
70572841520248220001;Improcedência;G1;Segunda;2024
70423383820248220001;Improcedência;G1;Terça;2024
70088983320248220007;Improcedência;G1;Terça;2024
70005397920248220012;Improcedência;G1;Quarta;2024
70121340620238220014;Improcedência;G1;;2023
70659088720238220001;Improcedência;G1;Terça;2023
70446485120238220001;Improcedência;G1;Terça;2023
70117862720238220001;Improcedência;G1;Quinta;2023
70001826920238220001;Improcedência;G1;Terça;2023
70065962220248220010;Improcedência;G1;Quarta;2024
70024886820248220003;Improcedência;G1;Sexta;2024
70055648820248220007;Improcedência;G1;Quinta;2024
70003959620248220015;Improcedência;G1;Quinta;2024
70003838520248220014;Improcedência;G1;Segunda;2024
70046843020238220008;Improcedência;G1;Segunda;2023
70050417420238220019;Improcedência;G1;Terça;2023
70072572320238220014;Improcedência;G1;Segunda;2023
70383954720238220001;Improcedência;G1;Terça;2023
70082726320238220002;Improcedência;G1;Quarta;2023
70850259820228220001;Improcedência;G1;Sexta;2022
70010461120178220004;Improcedência;G1;Segunda;2017
