numero_processo;tipo_decisao;grau;dia_semana;ano
08333312020258230010;Procedência;G1;Quarta;2025
08284639620258230010;Procedência;G1;Quarta;2025
08233766220258230010;Procedência;G1;Sexta;2025
08193303020258230010;Procedência;G1;Quarta;2025
08181074220258230010;Procedência;G1;Quarta;2025
08101854720258230010;Procedência;G1;Segunda;2025
08377034620248230010;Procedência;G1;Segunda;2024
08352455620248230010;Procedência;G1;Segunda;2024
08321181320248230010;Procedência;G1;Quarta;2024
08320852320248230010;Procedência;G1;Quarta;2024
08279973920248230010;Procedência;G1;Terça;2024
08272932620248230010;Procedência;G1;Quinta;2024
08221401220248230010;Procedência;G1;Sexta;2024
08090876120248230010;Procedência;G1;Quarta;2024
08050578020248230010;Procedência;G1;Quinta;2024
08453079220238230010;Procedência;G1;Quinta;2023
08430266620238230010;Procedência;G1;Quinta;2023
08430249620238230010;Procedência;G1;Quinta;2023
08430222920238230010;Procedência;G1;Quinta;2023
08194902620238230010;Procedência;G1;Segunda;2023
08097556620238230010;Procedência;G1;Segunda;2023
08218948420228230010;Procedência;G1;Terça;2022
08141989420228230010;Procedência;G1;Terça;2022
08133925920228230010;Procedência;G1;Terça;2022
08029970820228230010;Procedência;G1;Quinta;2022
08023310720228230010;Procedência;G1;Sexta;2022
08019924820228230010;Procedência;G1;Quarta;2022
08008094620218230020;Procedência;G1;Sexta;2021
08261215420218230010;Procedência;G1;Sexta;2021
08048565420258230010;Improcedência;G1;Segunda;2025
08014294920258230010;Improcedência;G1;Quarta;2025
08511093720248230010;Improcedência;G1;Quinta;2024
08459813620248230010;Improcedência;G1;Quarta;2024
08280216720248230010;Improcedência;G1;Terça;2024
08268870520248230010;Improcedência;G1;Terça;2024
08257257220248230010;Improcedência;G1;Terça;2024
08155537120248230010;Improcedência;G1;Quarta;2024
08344014320238230010;Improcedência;G1;Quarta;2023
08301212920238230010;Improcedência;G1;Terça;2023
08203372820238230010;Improcedência;G1;Segunda;2023
