numero_processo;tipo_decisao;grau;dia_semana;ano
50325895820258210022;Procedência;G1;Quarta;2025
50040297620258210032;Procedência;G1;Sexta;2025
52072030820258210001;Procedência;G1;Quarta;2025
52051851420258210001;Procedência;G1;Terça;2025
51989477620258210001;Procedência;G1;Terça;2025
51904316720258210001;Procedência;G1;Sexta;2025
51465608420258210001;Procedência;G1;Quarta;2025
50272696320258210010;Procedência;G1;Quarta;2025
51424850220258210001;Procedência;G1;Sexta;2025
50196504620258210022;Procedência;G1;Segunda;2025
50142682120258210039;Procedência;G1;Sexta;2025
51221453720258210001;Procedência;G1;Quarta;2025
51164466520258210001;Procedência;G1;Quinta;2025
50006064820258210149;Procedência;G1;Sexta;2025
51057393820258210001;Procedência;G1;Terça;2025
50142972520258210022;Procedência;G1;Terça;2025
50021000820258210032;Procedência;G1;Quarta;2025
50010059220258210144;Procedência;G1;Quinta;2025
50026996920208210048;Procedência;G1;Quarta;2025
50846679220258210001;Procedência;G1;;2025
50842711820258210001;Procedência;G1;;2025
50013623920258210155;Procedência;G1;Quarta;2025
50782303520258210001;Procedência;G1;Segunda;2025
50776041620258210001;Procedência;G1;Segunda;2025
50010093620258210078;Procedência;G1;;2025
50021126020258216001;Procedência;G1;Segunda;2025
50121055820258210010;Procedência;G1;Quarta;2025
50009622220258210156;Procedência;G1;Terça;2025
50577989220258210001;Procedência;G1;Sexta;2025
50546377420258210001;Procedência;G1;Terça;2025
50005055720258210166;Procedência;G1;Sexta;2025
50011343420258210068;Procedência;G1;Quinta;2025
50500431720258210001;Procedência;G1;Quinta;2025
50478165420258210001;Procedência;G1;Terça;2025
50051498720258210022;Procedência;G1;Sexta;2025
50430522520258210001;Procedência;G1;Quinta;2025
50022043220258210086;Procedência;G1;Quarta;2025
50011501520258210059;Procedência;G1;Segunda;2025
50289794820258210001;Procedência;G1;Quinta;2025
50004922920258210014;Procedência;G1;Quinta;2025
50001993220258210120;Procedência;G1;Quinta;2025
50020187020258210001;Procedência;G1;Segunda;2025
50019320220258210001;Procedência;G1;Segunda;2025
53356816820248210001;Procedência;G1;Segunda;2024
53352901620248210001;Procedência;G1;Sexta;2024
50114936620248210007;Procedência;G1;Terça;2024
50480626320248210008;Procedência;G1;Segunda;2024
53222489420248210001;Procedência;G1;;2024
50094250920248216001;Procedência;G1;;2024
53154675620248210001;Procedência;G1;Quarta;2024
53000410420248210001;Procedência;G1;;2024
50255755420248210023;Procedência;G1;Quinta;2024
52945822120248210001;Procedência;G1;Terça;2024
