numero_processo;tipo_decisao;grau;dia_semana;ano
50542077220258240023;Procedência;G1;Segunda;2025
50508473220258240023;Procedência;G1;Quinta;2025
50075127220258240019;Procedência;G1;Terça;2025
50136040620258240039;Procedência;G1;Sexta;2025
50009980520258240084;Procedência;G1;Segunda;2025
50427894020258240023;Procedência;G1;Quarta;2025
50052955620258240019;Procedência;G1;Quinta;2025
50017246420258240282;Procedência;G1;Quarta;2025
50097679720258240020;Procedência;G1;Quarta;2025
50109484220258240018;Procedência;G1;Segunda;2025
50299854020258240023;Procedência;G1;Terça;2025
50063345020258240064;Procedência;G1;Quarta;2025
50015199720258240035;Procedência;G1;Sexta;2025
50015120820258240035;Procedência;G1;Sexta;2025
50008585220258240057;Procedência;G1;Terça;2025
50006186920258240055;Procedência;G1;Terça;2025
50020035520258240054;Procedência;G1;Terça;2025
50007112320258240058;Procedência;G1;Quinta;2025
50010482420258240054;Procedência;G1;Terça;2025
50001106720258240009;Procedência;G1;Segunda;2025
50057649020258240023;Procedência;G1;Terça;2025
50009833420258240020;Procedência;G1;Terça;2025
50001756020258240042;Procedência;G1;Sexta;2025
50003181320258240054;Procedência;G1;Quarta;2025
50562004220248240038;Procedência;G1;Sexta;2024
50088425320248240015;Procedência;G1;Segunda;2024
50161886720248240011;Procedência;G1;Segunda;2024
50349229720248240033;Procedência;G1;Sexta;2024
50868831020248240023;Procedência;G1;Sexta;2024
50867073120248240023;Procedência;G1;Quinta;2024
50859451520248240023;Procedência;G1;Quinta;2024
50071973120248240067;Procedência;G1;Quinta;2024
50853631520248240023;Procedência;G1;Segunda;2024
50070007620248240067;Procedência;G1;Quinta;2024
50219315320248240045;Procedência;G1;Terça;2024
50034437220248240167;Procedência;G1;Terça;2024
50824055620248240023;Procedência;G1;Quarta;2024
50151684320248240075;Procedência;G1;Quarta;2024
50026813720248240141;Procedência;G1;Segunda;2024
50202123620248240045;Procedência;G1;Segunda;2024
50077591120248240012;Procedência;G1;Sexta;2024
50269277220248240020;Procedência;G1;Sexta;2024
50788936520248240023;Procedência;G1;Quarta;2024
50223236220248240022;Procedência;G1;Segunda;2024
50778231320248240023;Procedência;G1;Quinta;2024
50126256520248240011;Procedência;G1;Terça;2024
50758493820248240023;Procedência;G1;Segunda;2024
50248880520248240020;Procedência;G1;Quinta;2024
50248136320248240020;Procedência;G1;Quinta;2024
50129166720248240075;Procedência;G1;Quarta;2024
50157843420248240005;Procedência;G1;Quinta;2024
50046907420248240010;Procedência;G1;Terça;2024
50338298420248240038;Procedência;G1;Segunda;2024
50013686620248240068;Procedência;G1;Quinta;2024
50333197120248240038;Procedência;G1;Quarta;2024
50055982820248240012;Procedência;G1;Quarta;2024
50097632620248240075;Procedência;G1;;2024
50037894620248240030;Procedência;G1;Terça;2024
50027931220248240042;Procedência;G1;Segunda;2024
50124783420248240045;Procedência;G1;Quinta;2024
50158936520248240064;Procedência;G1;Sexta;2024
50017117720248240063;Procedência;G1;Quinta;2024
50141120820248240064;Procedência;G1;Segunda;2024
50540677220248240023;Procedência;G1;Segunda;2024
50044664820248240007;Procedência;G1;Segunda;2024
50004387420248240124;Procedência;G1;Terça;2024
50037033220248240012;Procedência;G1;Terça;2024
50021183620248240014;Procedência;G1;Sexta;2024
50061878820248240054;Procedência;G1;Quarta;2024
50091589620248240005;Procedência;G1;Segunda;2024
50101834220248240039;Procedência;G1;Sexta;2024
50010097320248240050;Procedência;G1;Terça;2024
50055474220248240036;Procedência;G1;Quinta;2024
50090412120248240033;Procedência;G1;Sexta;2024
50008888220248240167;Procedência;G1;Quarta;2024
50032741720248240125;Procedência;G1;Terça;2024
50084531420248240033;Procedência;G1;;2024
50438177720248240023;Procedência;G1;Sexta;2024
50136260420248240038;Procedência;G1;Quarta;2024
50394492520248240023;Procedência;G1;Quinta;2024
50067270520248240033;Procedência;G1;Segunda;2024
50009332920248240089;Procedência;G1;Sexta;2024
50367653020248240023;Procedência;G1;Sexta;2024
50006028620248240076;Procedência;G1;Quarta;2024
50024951820248240075;Procedência;G1;Segunda;2024
50270782920248240023;Procedência;G1;Segunda;2024
50009998620248240031;Procedência;G1;Quinta;2024
50036815320248240018;Procedência;G1;Quinta;2024
50202987320248240023;Procedência;G1;Quinta;2024
50135399320248240023;Procedência;G1;Sexta;2024
50004237520248240037;Procedência;G1;Sexta;2024
50012028120248240020;Procedência;G1;Segunda;2024
50001740720248240076;Procedência;G1;Segunda;2024
50019497420248240038;Procedência;G1;Sexta;2024
50000597420248240079;Procedência;G1;Quinta;2024
50012919520248240023;Procedência;G1;Terça;2024
