numero_processo;tipo_decisao;grau;dia_semana;ano
00012908020258250041;Procedência;G1;Quinta;2025
00332706820258250001;Procedência;G1;Segunda;2025
00000965920258250004;Procedência;G1;Quarta;2025
00216964820258250001;Procedência;G1;Quarta;2025
00205272620258250001;Procedência;G1;Sexta;2025
00007574420258250002;Procedência;G1;Terça;2025
00179065620258250001;Procedência;G1;Quarta;2025
00005964820258250062;Procedência;G1;Quarta;2025
00159475020258250001;Procedência;G1;Terça;2025
00027598520258250034;Procedência;G1;Terça;2025
00155542820258250001;Procedência;G1;Sexta;2025
00145721420258250001;Procedência;G1;Terça;2025
00145383920258250001;Procedência;G1;Segunda;2025
00002058920258250031;Procedência;G1;Sexta;2025
00001518820258250075;Procedência;G1;Sexta;2025
00003807420258250034;Procedência;G1;Quinta;2025
00002837620258250001;Procedência;G1;Terça;2025
00034174020248250036;Procedência;G1;Segunda;2024
00687089220248250001;Procedência;G1;Sexta;2024
00021490820248250017;Procedência;G1;Quarta;2024
00116051020248250040;Procedência;G1;Segunda;2024
00030257220248250013;Procedência;G1;Segunda;2024
00631625620248250001;Procedência;G1;Terça;2024
00004959820248250012;Procedência;G1;Quarta;2024
00053079820248250008;Procedência;G1;Quarta;2024
00022163520248250061;Procedência;G1;Quinta;2024
00582094920248250001;Procedência;G1;Terça;2024
00101172020248250040;Procedência;G1;Sexta;2024
00539865320248250001;Procedência;G1;Quarta;2024
00024403720248250072;Procedência;G1;Terça;2024
00475828320248250001;Procedência;G1;Terça;2024
00013656820248250037;Procedência;G1;Segunda;2024
00053645920248250027;Procedência;G1;Sexta;2024
00039984220248250008;Procedência;G1;Terça;2024
00423915720248250001;Procedência;G1;Quinta;2024
00006535220248250078;Procedência;G1;Terça;2024
00015359820248250050;Procedência;G1;Terça;2024
00011081220248250015;Procedência;G1;Segunda;2024
00245704020248250001;Procedência;G1;Terça;2024
00044233120248250053;Procedência;G1;Segunda;2024
00271556520248250001;Procedência;G1;Terça;2024
00006786820248250077;Procedência;G1;Quarta;2024
00251333420248250001;Procedência;G1;Segunda;2024
