numero_processo;tipo_decisao;grau;dia_semana;ano
40024916320258260024;Procedência;G1;Terça;2025
40087927420258260008;Procedência;G1;Terça;2025
40027735920258260038;Procedência;G1;Quinta;2025
40051745020258260161;Procedência;G1;Terça;2025
40481341020258260100;Procedência;G1;Quinta;2025
40435361320258260100;Procedência;G1;Quarta;2025
40418282520258260100;Procedência;G1;Segunda;2025
40131107320258260114;Procedência;G1;Sexta;2025
40060758020258260011;Procedência;G1;Quinta;2025
40073955820258260564;Procedência;G1;;2025
40039910520258260562;Procedência;G1;Quarta;2025
40291281720258260100;Procedência;G1;Quinta;2025
10079164420258260438;Procedência;G1;Segunda;2025
40175229220258260002;Procedência;G1;Segunda;2025
10137106720258260625;Procedência;G1;Sexta;2025
10093398920258260292;Procedência;G1;Quarta;2025
10012616720258260111;Procedência;G1;Terça;2025
40049708620258260005;Procedência;G1;Terça;2025
40082188220258260224;Procedência;G1;;2025
10204962520258260562;Procedência;G1;;2025
40033761920258260011;Procedência;G1;Quinta;2025
10018911220258260439;Procedência;G1;Quarta;2025
40039381820258260564;Procedência;G1;Terça;2025
10199653620258260562;Procedência;G1;Segunda;2025
10259478320258260577;Procedência;G1;Sexta;2025
10258481620258260577;Procedência;G1;Quinta;2025
10123266920258260625;Procedência;G1;Segunda;2025
10070186520258260362;Procedência;G1;Sexta;2025
40057424320258260007;Procedência;G1;Sexta;2025
40111684820258260100;Procedência;G1;Quinta;2025
10035211020258260082;Procedência;G1;Segunda;2025
10010656420258260219;Procedência;G1;;2025
40089201220258260100;Procedência;G1;Sexta;2025
40069290420258260002;Procedência;G1;Quinta;2025
10138451520258260032;Procedência;G1;Quarta;2025
10030822920258260363;Procedência;G1;Terça;2025
10079576120258260292;Procedência;G1;Quinta;2025
10123242220258260004;Procedência;G1;Terça;2025
10113662420258260008;Procedência;G1;Terça;2025
10060732220258260704;Procedência;G1;Quarta;2025
10116147820258260011;Procedência;G1;Quarta;2025
10096280720258260006;Procedência;G1;Terça;2025
10114459120258260011;Procedência;G1;Segunda;2025
10205525220258260564;Procedência;G1;;2025
10071593520258260637;Procedência;G1;;2025
10048342820258260010;Procedência;G1;Sexta;2025
10047831720258260010;Procedência;G1;Quinta;2025
10082417920258260127;Procedência;G1;Quinta;2025
10061222220258260362;Procedência;G1;Quarta;2025
10164161820258260562;Procedência;G1;Terça;2025
10016414420258260288;Procedência;G1;Sexta;2025
10214693220258260577;Procedência;G1;Sexta;2025
10112615920258260004;Procedência;G1;Quinta;2025
10048367920258260565;Procedência;G1;Segunda;2025
10010813820258260083;Procedência;G1;Segunda;2025
10189875320258260564;Procedência;G1;Quinta;2025
10187839820258260405;Procedência;G1;Quarta;2025
10010938820258260459;Procedência;G1;Segunda;2025
10000903720258260544;Procedência;G1;Sexta;2025
10013679120258260543;Procedência;G1;Quarta;2025
10472616420258260002;Procedência;G1;Quarta;2025
10108771220258260032;Procedência;G1;Terça;2025
10049976020258260704;Procedência;G1;Segunda;2025
10023157220258260045;Procedência;G1;;2025
10151632320258260003;Procedência;G1;Sexta;2025
10054468520258260229;Procedência;G1;Sexta;2025
10149354820258260003;Procedência;G1;Quarta;2025
10016269120258260218;Procedência;G1;Terça;2025
10013093320258260238;Procedência;G1;Segunda;2025
10435522120258260002;Procedência;G1;Quarta;2025
10045463520258260704;Procedência;G1;;2025
10425051220258260002;Procedência;G1;Sexta;2025
10248194720258260506;Procedência;G1;Terça;2025
10012973620258260491;Procedência;G1;Sexta;2025
10039231120258260529;Procedência;G1;Sexta;2025
10042389620258260704;Procedência;G1;Quarta;2025
10683669420258260100;Procedência;G1;Quarta;2025
10016046820258260368;Procedência;G1;Quarta;2025
10060661020258260161;Procedência;G1;Terça;2025
10081158620258260011;Procedência;G1;Segunda;2025
10385012920258260002;Procedência;G1;Segunda;2025
10076698320258260011;Procedência;G1;Segunda;2025
10100351620258260005;Procedência;G1;Quinta;2025
10152611420258260001;Procedência;G1;Quinta;2025
10126962920258260405;Procedência;G1;Segunda;2025
10590315120258260100;Procedência;G1;;2025
10007146320258260681;Procedência;G1;Quarta;2025
10018442320258260347;Procedência;G1;Segunda;2025
10095300320258260562;Procedência;G1;Quarta;2025
10058718820258260625;Procedência;G1;Terça;2025
10060858720258260008;Procedência;G1;Terça;2025
10526607120258260100;Procedência;G1;Terça;2025
10064815520258260011;Procedência;G1;Sexta;2025
10035085520258260229;Procedência;G1;Quarta;2025
10045944520258260590;Procedência;G1;Quarta;2025
10502391120258260100;Procedência;G1;Terça;2025
10116913820258260577;Procedência;G1;Segunda;2025
10493843220258260100;Procedência;G1;Segunda;2025
10105589720258260564;Procedência;G1;Sexta;2025
10123295320258260001;Procedência;G1;Quinta;2025
10111189720258260577;Procedência;G1;Quarta;2025
10057990320258260011;Procedência;G1;Terça;2025
10455502120258260100;Procedência;G1;Segunda;2025
10438536220258260100;Procedência;G1;Quinta;2025
10435262020258260100;Procedência;G1;Quarta;2025
10067279320258260482;Procedência;G1;Terça;2025
10025619820258260132;Procedência;G1;Terça;2025
10144458120258260114;Procedência;G1;Segunda;2025
10084061320258260003;Procedência;G1;Segunda;2025
00011461920248260040;Procedência;G1;;2025
10002395620258260698;Procedência;G1;Sexta;2025
10402949720258260100;Procedência;G1;Quinta;2025
10004058320258260538;Procedência;G1;Quinta;2025
10387195420258260100;Procedência;G1;Terça;2025
10034544820258260566;Procedência;G1;Segunda;2025
10046818920258260011;Procedência;G1;Segunda;2025
10374290420258260100;Procedência;G1;Segunda;2025
10032630320258260566;Procedência;G1;Quarta;2025
10023318620258260704;Procedência;G1;Quarta;2025
10001933520258260159;Procedência;G1;Quarta;2025
10042081520258260008;Procedência;G1;Quarta;2025
10050229420258260309;Procedência;G1;Terça;2025
10061749720258260562;Procedência;G1;Terça;2025
10064063620258260554;Procedência;G1;Segunda;2025
10114206020258260114;Procedência;G1;Sexta;2025
10029437520258260590;Procedência;G1;Sexta;2025
10111604120258260224;Procedência;G1;Quinta;2025
10084348420258260001;Procedência;G1;Quinta;2025
10193394820258260002;Procedência;G1;Quarta;2025
10097730220258260576;Procedência;G1;Terça;2025
10183989820258260002;Procedência;G1;Segunda;2025
10029547120258260019;Procedência;G1;Segunda;2025
10004222720258260116;Procedência;G1;;2025
10103246820258260224;Procedência;G1;;2025
10293243820258260100;Procedência;G1;Sexta;2025
10291806420258260100;Procedência;G1;Sexta;2025
10015275120258260597;Procedência;G1;Quinta;2025
10026160820258260566;Procedência;G1;Quinta;2025
10008934820258260082;Procedência;G1;Quarta;2025
10018994120258260066;Procedência;G1;Segunda;2025
10005147520258260222;Procedência;G1;Terça;2025
10250130420258260100;Procedência;G1;Terça;2025
10247965820258260100;Procedência;G1;Terça;2025
10246987320258260100;Procedência;G1;Terça;2025
10033205820258260004;Procedência;G1;Segunda;2025
10241842320258260100;Procedência;G1;Segunda;2025
10042265020258260068;Procedência;G1;Sexta;2025
10234333620258260100;Procedência;G1;Sexta;2025
10050844820258260564;Procedência;G1;Sexta;2025
10228808620258260100;Procedência;G1;Quinta;2025
10020906320258260009;Procedência;G1;Quinta;2025
10036408320258260562;Procedência;G1;Quarta;2025
10022162920258260037;Procedência;G1;Terça;2025
10037657820258260068;Procedência;G1;Terça;2025
10204454220258260100;Procedência;G1;Segunda;2025
10203865420258260100;Procedência;G1;Segunda;2025
10019950320258260019;Procedência;G1;Segunda;2025
10013165620258260066;Procedência;G1;Sexta;2025
10059415820258260576;Procedência;G1;Quinta;2025
10003772620258260115;Procedência;G1;Quinta;2025
10182862920258260100;Procedência;G1;Quarta;2025
10012559820258260066;Procedência;G1;Quarta;2025
10029522420258260562;Procedência;G1;Quarta;2025
10028560920258260562;Procedência;G1;Terça;2025
10160007820258260100;Procedência;G1;Sexta;2025
10038637020258260001;Procedência;G1;Sexta;2025
10144574020258260100;Procedência;G1;Quarta;2025
10141603320258260100;Procedência;G1;Quarta;2025
10025913520258260003;Procedência;G1;Segunda;2025
10124870520258260100;Procedência;G1;;2025
10016183520258260309;Procedência;G1;Quinta;2025
10016629320258260005;Procedência;G1;Quinta;2025
10010219620258260590;Procedência;G1;Quinta;2025
10006404620258260604;Procedência;G1;Segunda;2025
10092340920258260100;Procedência;G1;Segunda;2025
10013847020258260562;Procedência;G1;;2025
10007179420258260009;Procedência;G1;Quinta;2025
10016513620258260564;Procedência;G1;Quinta;2025
10011607720258260451;Procedência;G1;Quinta;2025
10003944120258260704;Procedência;G1;Quarta;2025
10061024120258260100;Procedência;G1;Terça;2025
10003236720258260048;Procedência;G1;Segunda;2025
10001329420258260218;Procedência;G1;;2025
10002423820258260010;Procedência;G1;Sexta;2025
00000419820258260063;Procedência;G1;Quinta;2025
10004274620258260020;Procedência;G1;Quarta;2025
10008720620258260007;Procedência;G1;Quarta;2025
10001269220258260281;Procedência;G1;Terça;2025
10000909520258260363;Procedência;G1;Terça;2025
10000447420258260115;Procedência;G1;Quinta;2025
10023110520248260228;Procedência;G1;Sexta;2024
10000492320248260571;Procedência;G1;Sexta;2024
10150582420248260248;Procedência;G1;Sexta;2024
10338063520248260562;Procedência;G1;Sexta;2024
11105458020248260002;Procedência;G1;Quinta;2024
10091469420248260038;Procedência;G1;Quinta;2024
10600490220248260114;Procedência;G1;Quarta;2024
10093256020248260189;Procedência;G1;Quarta;2024
10597745320248260114;Procedência;G1;Quarta;2024
15077452720248260127;Procedência;G1;Terça;2024
10037163220248260372;Procedência;G1;Terça;2024
10008554220248260447;Procedência;G1;Segunda;2024
11989075520248260100;Procedência;G1;Segunda;2024
10048079720248260101;Procedência;G1;Sexta;2024
15059837320248260127;Procedência;G1;Quarta;2024
10124779820248260292;Procedência;G1;Quarta;2024
10207425920248260011;Procedência;G1;Terça;2024
10124098320248260637;Procedência;G1;Terça;2024
10007854220248260118;Procedência;G1;Sexta;2024
10122597020248260292;Procedência;G1;Quinta;2024
10047715220248260296;Procedência;G1;Quinta;2024
10261203820248260482;Procedência;G1;Quarta;2024
10420697220248260007;Procedência;G1;Quarta;2024
00008091120248260111;Procedência;G1;Segunda;2024
11042442020248260002;Procedência;G1;Segunda;2024
10559959020248260114;Procedência;G1;Quinta;2024
10024947920248260129;Procedência;G1;Quinta;2024
10022286720248260396;Procedência;G1;Quarta;2024
11885329220248260100;Procedência;G1;Quarta;2024
11885311020248260100;Procedência;G1;Quarta;2024
15037991520248260073;Procedência;G1;Terça;2024
10163461520248260019;Procedência;G1;Terça;2024
10197093420248260011;Procedência;G1;Segunda;2024
10291757020248260005;Procedência;G1;Sexta;2024
10146010820248260566;Procedência;G1;Quinta;2024
10598382420248260224;Procedência;G1;Quinta;2024
10221504520248260477;Procedência;G1;Quarta;2024
10052163620248260081;Procedência;G1;Terça;2024
10092748520248260565;Procedência;G1;Terça;2024
10331094220248260003;Procedência;G1;Segunda;2024
10043920220248260106;Procedência;G1;Segunda;2024
11832368920248260100;Procedência;G1;Segunda;2024
10627173120248260506;Procedência;G1;;2024
10198887420248260008;Procedência;G1;Quinta;2024
10192616120248260011;Procedência;G1;Quinta;2024
10211013020248260004;Procedência;G1;Quinta;2024
10197613920248260008;Procedência;G1;Quarta;2024
10023179220248260654;Procedência;G1;Quarta;2024
11813210520248260100;Procedência;G1;Terça;2024
10059745420248260650;Procedência;G1;Terça;2024
10242809020248260482;Procedência;G1;Terça;2024
10981315020248260002;Procedência;G1;Segunda;2024
11793230220248260100;Procedência;G1;Sexta;2024
10353614220248260577;Procedência;G1;Sexta;2024
10294725520248260562;Procedência;G1;Quinta;2024
10250120820248260309;Procedência;G1;Quinta;2024
10122694520248260606;Procedência;G1;Quarta;2024
10031284420248260495;Procedência;G1;Quarta;2024
10187038920248260011;Procedência;G1;Quarta;2024
11775501920248260100;Procedência;G1;Terça;2024
10212684320248260361;Procedência;G1;Terça;2024
11768703420248260100;Procedência;G1;Segunda;2024
10290325920248260562;Procedência;G1;Segunda;2024
10315557220248260003;Procedência;G1;;2024
11756795120248260100;Procedência;G1;Sexta;2024
10515710520248260114;Procedência;G1;Quinta;2024
10028906520248260514;Procedência;G1;Quinta;2024
10182194720248260020;Procedência;G1;Quinta;2024
10060084820248260191;Procedência;G1;Quinta;2024
10183071520248260011;Procedência;G1;Quinta;2024
10155228620248260009;Procedência;G1;Terça;2024
10506781420248260114;Procedência;G1;Segunda;2024
10099076720248260704;Procedência;G1;Sexta;2024
10032413020248260452;Procedência;G1;Quinta;2024
10013248620248260480;Procedência;G1;Quarta;2024
11702977720248260100;Procedência;G1;Quarta;2024
10224749820248260068;Procedência;G1;Quarta;2024
11698829420248260100;Procedência;G1;Terça;2024
10143391220248260161;Procedência;G1;Terça;2024
10497055920248260114;Procedência;G1;Terça;2024
10275050620248260196;Procedência;G1;Terça;2024
10194254720248260004;Procedência;G1;Segunda;2024
10110928720248260269;Procedência;G1;;2024
10146992820248260037;Procedência;G1;Sexta;2024
10365883120248260007;Procedência;G1;Sexta;2024
11676873920248260100;Procedência;G1;Quinta;2024
11676371320248260100;Procedência;G1;Quinta;2024
11673591220248260100;Procedência;G1;Quinta;2024
10104252720248260229;Procedência;G1;Quarta;2024
10898709620248260002;Procedência;G1;Quarta;2024
11661406120248260100;Procedência;G1;Terça;2024
10111235720248260609;Procedência;G1;Terça;2024
10232938820248260309;Procedência;G1;Terça;2024
10171293120248260011;Procedência;G1;Terça;2024
10466195220248260576;Procedência;G1;Segunda;2024
10373280720248260001;Procedência;G1;;2024
10138283520248260348;Procedência;G1;Sexta;2024
10320911020248260577;Procedência;G1;Sexta;2024
11639659420248260100;Procedência;G1;Sexta;2024
11637761920248260100;Procedência;G1;Quinta;2024
11631344620248260100;Procedência;G1;Quinta;2024
10017944020248260247;Procedência;G1;Quarta;2024
10174533020248260008;Procedência;G1;Terça;2024
10286838420248260003;Procedência;G1;Segunda;2024
00044726020248260048;Procedência;G1;Segunda;2024
10071428420248260038;Procedência;G1;Sexta;2024
10079401620248260565;Procedência;G1;Sexta;2024
10025450520248260028;Procedência;G1;Quinta;2024
10186236220248260032;Procedência;G1;Quinta;2024
10283581220248260003;Procedência;G1;Quinta;2024
10107148120248260609;Procedência;G1;Quinta;2024
10091524320248260704;Procedência;G1;Quinta;2024
11591782220248260100;Procedência;G1;Quarta;2024
10018475920248260396;Procedência;G1;Terça;2024
10854140620248260002;Procedência;G1;Terça;2024
11585511820248260100;Procedência;G1;Terça;2024
11585018920248260100;Procedência;G1;Terça;2024
10207585520248260482;Procedência;G1;Terça;2024
10264259720248260554;Procedência;G1;Segunda;2024
10454921020248260114;Procedência;G1;Segunda;2024
10354357820248260001;Procedência;G1;;2024
10244711420248260005;Procedência;G1;;2024
10450772720248260114;Procedência;G1;Quinta;2024
10350555520248260001;Procedência;G1;Quarta;2024
10274461520248260003;Procedência;G1;Quarta;2024
11551180620248260100;Procedência;G1;Quarta;2024
15002860420248260020;Procedência;G1;Quarta;2024
10094163420248260066;Procedência;G1;Terça;2024
10033378620248260115;Procedência;G1;Terça;2024
11535141020248260100;Procedência;G1;Segunda;2024
10441298520248260114;Procedência;G1;Segunda;2024
11528706720248260100;Procedência;G1;Sexta;2024
10081412520248260624;Procedência;G1;Quinta;2024
10092267120248260066;Procedência;G1;Quarta;2024
00010356720248260288;Procedência;G1;Quarta;2024
00007508020248260383;Procedência;G1;Terça;2024
10431580320248260114;Procedência;G1;Terça;2024
11500057120248260100;Procedência;G1;Terça;2024
10055647820248260073;Procedência;G1;Segunda;2024
11487906020248260100;Procedência;G1;Sexta;2024
10420345420248260576;Procedência;G1;Sexta;2024
10051181220248260191;Procedência;G1;Sexta;2024
10013602220248260095;Procedência;G1;Quinta;2024
11472957820248260100;Procedência;G1;Quarta;2024
10446545520248260506;Procedência;G1;Quarta;2024
10026725220248260218;Procedência;G1;Quarta;2024
10021296220248260634;Procedência;G1;Quarta;2024
10088859420248260664;Procedência;G1;Terça;2024
11462443220248260100;Procedência;G1;Terça;2024
10233364220248260562;Procedência;G1;Segunda;2024
10148819220248260011;Procedência;G1;Sexta;2024
10231120720248260562;Procedência;G1;Sexta;2024
10034217420248260572;Procedência;G1;Terça;2024
10086204320248260066;Procedência;G1;Terça;2024
10168973620248260361;Procedência;G1;Segunda;2024
11414315920248260100;Procedência;G1;Segunda;2024
11411171620248260100;Procedência;G1;Segunda;2024
10021340420248260596;Procedência;G1;;2024
10266699320248260564;Procedência;G1;Sexta;2024
10149348220248260008;Procedência;G1;Sexta;2024
10401467820248260114;Procedência;G1;Quinta;2024
10010381120248260480;Procedência;G1;Quinta;2024
10395368220248260576;Procedência;G1;Quinta;2024
10084350520248260066;Procedência;G1;Quarta;2024
10025789220248260222;Procedência;G1;Quarta;2024
10147217620248260008;Procedência;G1;Quarta;2024
11380382920248260100;Procedência;G1;Terça;2024
10238728120248260003;Procedência;G1;Segunda;2024
10730267120248260002;Procedência;G1;;2024
10017256020248260456;Procedência;G1;Quinta;2024
10022555620248260394;Procedência;G1;Quinta;2024
10042697920248260663;Procedência;G1;Quinta;2024
10010221320248260042;Procedência;G1;Quarta;2024
10115585520248260019;Procedência;G1;Quarta;2024
11340526720248260100;Procedência;G1;Quarta;2024
11338439820248260100;Procedência;G1;Terça;2024
10172881620248260482;Procedência;G1;Terça;2024
10081426820248260637;Procedência;G1;Segunda;2024
10134733920248260020;Procedência;G1;Segunda;2024
10241131320248260405;Procedência;G1;Segunda;2024
10413346720248260224;Procedência;G1;Segunda;2024
10063617120248260132;Procedência;G1;Sexta;2024
11313781920248260100;Procedência;G1;Quinta;2024
11302653020248260100;Procedência;G1;Quarta;2024
10078955420248260066;Procedência;G1;Quarta;2024
10078756320248260066;Procedência;G1;Terça;2024
10150241820248260032;Procedência;G1;Terça;2024
10078154220248260664;Procedência;G1;Terça;2024
10011282320248260414;Procedência;G1;Segunda;2024
10392918720248260506;Procedência;G1;Segunda;2024
10223996020248260003;Procedência;G1;Segunda;2024
10111519220248260037;Procedência;G1;Segunda;2024
10041048120248260291;Procedência;G1;Segunda;2024
10110215920248260019;Procedência;G1;Sexta;2024
10176293820248260451;Procedência;G1;Sexta;2024
10109947620248260019;Procedência;G1;Sexta;2024
11273041920248260100;Procedência;G1;Quinta;2024
10098957920248260566;Procedência;G1;Quinta;2024
10076971720248260066;Procedência;G1;Quinta;2024
10104178120248260348;Procedência;G1;Quarta;2024
10015771320248260080;Procedência;G1;Quarta;2024
10025525020248260075;Procedência;G1;Terça;2024
11247787920248260100;Procedência;G1;Segunda;2024
11247536620248260100;Procedência;G1;Segunda;2024
10057725220248260529;Procedência;G1;Sexta;2024
10100973120248260348;Procedência;G1;Quinta;2024
11228872320248260100;Procedência;G1;Quinta;2024
10030732520248260356;Procedência;G1;Quarta;2024
10192494320248260562;Procedência;G1;Quarta;2024
10039882020248260568;Procedência;G1;Quarta;2024
10038397920248260291;Procedência;G1;Quarta;2024
11218956220248260100;Procedência;G1;Quarta;2024
10041726120248260281;Procedência;G1;Terça;2024
11214253120248260100;Procedência;G1;Terça;2024
10100625020248260161;Procedência;G1;Terça;2024
10072546620248260066;Procedência;G1;Terça;2024
10137709420248260004;Procedência;G1;Terça;2024
10269213920248260001;Procedência;G1;Segunda;2024
10635129420248260002;Procedência;G1;Sexta;2024
10045558020248260526;Procedência;G1;Quinta;2024
10263688920248260001;Procedência;G1;Quinta;2024
10361055620248260506;Procedência;G1;Quarta;2024
10057325920248260565;Procedência;G1;Quarta;2024
10019631320248260575;Procedência;G1;Quarta;2024
10366093520248260224;Procedência;G1;Terça;2024
11164384920248260100;Procedência;G1;Terça;2024
10218658220248260564;Procedência;G1;;2024
11152528820248260100;Procedência;G1;Sexta;2024
00009905920248260063;Procedência;G1;Sexta;2024
10610896420248260002;Procedência;G1;Sexta;2024
10328333820248260576;Procedência;G1;Sexta;2024
10050149120248260038;Procedência;G1;Quinta;2024
10017457420248260028;Procedência;G1;Quarta;2024
11128763220248260100;Procedência;G1;Quarta;2024
10067419620248260099;Procedência;G1;Terça;2024
10345422720248260506;Procedência;G1;Terça;2024
10015290720248260128;Procedência;G1;Segunda;2024
11114204720248260100;Procedência;G1;Segunda;2024
10037918420248260400;Procedência;G1;Segunda;2024
10246591920248260001;Procedência;G1;Segunda;2024
11109952020248260100;Procedência;G1;Sexta;2024
11109891320248260100;Procedência;G1;Sexta;2024
10012906920248260300;Procedência;G1;Quinta;2024
10079902320248260248;Procedência;G1;Quinta;2024
10097282420248260223;Procedência;G1;Quinta;2024
10582532120248260002;Procedência;G1;Quinta;2024
10073869420248260302;Procedência;G1;Quarta;2024
10096745820248260223;Procedência;G1;Quarta;2024
11086221620248260100;Procedência;G1;Quarta;2024
10241741920248260001;Procedência;G1;Quarta;2024
10577300920248260002;Procedência;G1;Terça;2024
10240390720248260001;Procedência;G1;Segunda;2024
10096551520248260009;Procedência;G1;Quinta;2024
11052964820248260100;Procedência;G1;Quarta;2024
10302403620248260576;Procedência;G1;Quarta;2024
10107844920248260011;Procedência;G1;Quarta;2024
10561608520248260002;Procedência;G1;Quarta;2024
10007261320248260067;Procedência;G1;Terça;2024
10031885920248260481;Procedência;G1;Terça;2024
10324143420248260506;Procedência;G1;Segunda;2024
00314120320248260100;Procedência;G1;Segunda;2024
10031842220248260481;Procedência;G1;Segunda;2024
10121124820248260032;Procedência;G1;Segunda;2024
10230690720248260001;Procedência;G1;Segunda;2024
11026757820248260100;Procedência;G1;;2024
10173780220248260554;Procedência;G1;Sexta;2024
10062477220248260637;Procedência;G1;Sexta;2024
11017655120248260100;Procedência;G1;Sexta;2024
11016944920248260100;Procedência;G1;Sexta;2024
11008361820248260100;Procedência;G1;Quinta;2024
10289960320248260114;Procedência;G1;Quarta;2024
10159802720248260196;Procedência;G1;Quarta;2024
10998913120248260100;Procedência;G1;Quarta;2024
10998540420248260100;Procedência;G1;Quarta;2024
10018708620248260272;Procedência;G1;Quarta;2024
10015433620248260210;Procedência;G1;Quarta;2024
10026257920248260347;Procedência;G1;Quarta;2024
10058160520248260066;Procedência;G1;Segunda;2024
10090177920248260009;Procedência;G1;Segunda;2024
10066758920248260302;Procedência;G1;Sexta;2024
10172282520248260003;Procedência;G1;Sexta;2024
10043722120248260038;Procedência;G1;Sexta;2024
10058685920248260079;Procedência;G1;Quinta;2024
10277689020248260114;Procedência;G1;Quinta;2024
10058450720248260664;Procedência;G1;Quinta;2024
10511661420248260002;Procedência;G1;Quarta;2024
10082999520248260037;Procedência;G1;Terça;2024
10056333420248260066;Procedência;G1;Terça;2024
10054326820248260704;Procedência;G1;Terça;2024
10941077320248260100;Procedência;G1;Terça;2024
10500827520248260002;Procedência;G1;Segunda;2024
10112549720248260361;Procedência;G1;Sexta;2024
10927635720248260100;Procedência;G1;Sexta;2024
10057419820248260604;Procedência;G1;Quinta;2024
10009977120248260374;Procedência;G1;Quinta;2024
10017621320248260222;Procedência;G1;Quarta;2024
10080110720248260019;Procedência;G1;Terça;2024
10043749720248260132;Procedência;G1;Terça;2024
10021395620248260101;Procedência;G1;Terça;2024
10007999820248260094;Procedência;G1;Terça;2024
10901410520248260100;Procedência;G1;Terça;2024
10898709320248260100;Procedência;G1;Segunda;2024
10060679120248260302;Procedência;G1;Segunda;2024
10138453320248260005;Procedência;G1;Sexta;2024
10256296820248260114;Procedência;G1;Sexta;2024
10197172320248260007;Procedência;G1;Sexta;2024
10092758320248260011;Procedência;G1;Sexta;2024
10039495620248260266;Procedência;G1;Sexta;2024
10050891320248260077;Procedência;G1;Quarta;2024
10212533020248260602;Procedência;G1;Quarta;2024
10078365220248260006;Procedência;G1;Quarta;2024
15044290420248260451;Procedência;G1;Quarta;2024
10079602620248260009;Procedência;G1;Terça;2024
10008157620248260474;Procedência;G1;Terça;2024
10864940220248260100;Procedência;G1;Terça;2024
10861528820248260100;Procedência;G1;Terça;2024
10861225320248260100;Procedência;G1;Terça;2024
10459714820248260002;Procedência;G1;Segunda;2024
10009545220248260466;Procedência;G1;Segunda;2024
10246455620248260576;Procedência;G1;Sexta;2024
10135532620248260562;Procedência;G1;Sexta;2024
10012303920248260028;Procedência;G1;Sexta;2024
10205526920248260602;Procedência;G1;Quarta;2024
10038055720248260533;Procedência;G1;Quarta;2024
10011326620248260315;Procedência;G1;Quarta;2024
10437750820248260002;Procedência;G1;Segunda;2024
10236610320248260114;Procedência;G1;Segunda;2024
10082423120248260020;Procedência;G1;Segunda;2024
10085653420248260344;Procedência;G1;Segunda;2024
10812006620248260100;Procedência;G1;Sexta;2024
10050724320248260637;Procedência;G1;Sexta;2024
10092015020248260004;Procedência;G1;Sexta;2024
10141701420248260003;Procedência;G1;Quinta;2024
10801370620248260100;Procedência;G1;Quinta;2024
10086939220248260008;Procedência;G1;Quinta;2024
10229352920248260114;Procedência;G1;Quarta;2024
10420343020248260002;Procedência;G1;Quarta;2024
10789020420248260100;Procedência;G1;Quarta;2024
10016553720248260070;Procedência;G1;Terça;2024
10019559820248260619;Procedência;G1;Terça;2024
10082564220248260011;Procedência;G1;Terça;2024
15034471920248260506;Procedência;G1;Segunda;2024
10773518620248260100;Procedência;G1;Segunda;2024
10409006520248260002;Procedência;G1;Segunda;2024
10009140720248260390;Procedência;G1;Segunda;2024
10132287520248260554;Procedência;G1;Segunda;2024
10008388120248260228;Procedência;G1;;2024
10767715620248260100;Procedência;G1;Sexta;2024
10767030920248260100;Procedência;G1;Sexta;2024
10047606720248260637;Procedência;G1;Sexta;2024
10254208720248260506;Procedência;G1;Sexta;2024
10010028620248260150;Procedência;G1;Sexta;2024
10400155120248260002;Procedência;G1;Quinta;2024
10036920720248260565;Procedência;G1;Quinta;2024
10753347720248260100;Procedência;G1;Quinta;2024
10167987920248260001;Procedência;G1;Quarta;2024
10748583920248260100;Procedência;G1;Quarta;2024
00016859620248260197;Procedência;G1;Quarta;2024
10144349420248260564;Procedência;G1;Quarta;2024
10747674620248260100;Procedência;G1;Quarta;2024
10742045220248260100;Procedência;G1;Terça;2024
10741846120248260100;Procedência;G1;Terça;2024
10041468320248260048;Procedência;G1;Terça;2024
10738242920248260100;Procedência;G1;Terça;2024
10113960520248260005;Procedência;G1;Terça;2024
10065410820248260320;Procedência;G1;Segunda;2024
10733141620248260100;Procedência;G1;Segunda;2024
10243746320248260506;Procedência;G1;Segunda;2024
10041976620248260704;Procedência;G1;Segunda;2024
10727495220248260100;Procedência;G1;;2024
10723217020248260100;Procedência;G1;Sexta;2024
10128095920248260003;Procedência;G1;Sexta;2024
10717942120248260100;Procedência;G1;Quinta;2024
10239979220248260506;Procedência;G1;Quinta;2024
10376858120248260002;Procedência;G1;Quinta;2024
10714053620248260100;Procedência;G1;Quinta;2024
